studyID	type	iri	targeted?
MTBLS151	Chemometrics		un-mapped
MTBLS151	Nilaparvata lugens	http://purl.bioontology.org/ontology/NCBITAXON/108931	target
MTBLS152	untargeted metabolites		untargeted
MTBLS152	Ovarian cancer	http://purl.obolibrary.org/obo/OMIM_167000	target
MTBLS152	Cancer Stem Cell	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68706	target
MTBLS152	cancer metabolism		un-mapped
MTBLS152	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS152	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886	target
MTBLS154	Phytoplankton	http://www.owl-ontologies.com/unnamed.owl#Phytoplankton	target
MTBLS154	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486	target
MTBLS154	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502	target
MTBLS154	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS154	targeted metabolites		un-mapped
MTBLS154	untargeted metabolites		untargeted
MTBLS155	Phytoplankton	http://www.owl-ontologies.com/unnamed.owl#Phytoplankton	target
MTBLS155	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486	target
MTBLS155	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502	target
MTBLS155	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS155	targeted metabolites		un-mapped
MTBLS155	untargeted metabolites		untargeted
MTBLS156	untargeted metabolites		untargeted
MTBLS156	high-resolution magic angle spinning	http://purl.obolibrary.org/obo/CHMO_0000618	target
MTBLS156	hexacationic ruthenium metallaprism		un-mapped
MTBLS156	cancer cells		un-mapped
MTBLS156	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS157	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486	target
MTBLS157	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502	target
MTBLS157	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS157	targeted metabolites		un-mapped
MTBLS157	untargeted metabolites		untargeted
MTBLS158	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009	target
MTBLS158	targeted metabolomics		un-mapped
MTBLS160	genotype	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000513	target
MTBLS160	hydroponic plant culture media	http://purl.obolibrary.org/obo/EO_0007067	target
MTBLS160	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS160	untargeted metabolites		untargeted
MTBLS160	targeted metabolites		un-mapped
MTBLS161	Chronic Fatigue Syndrome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3037	target
MTBLS161	Glycolysis Pathway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39095	target
MTBLS161	Oxidative Stress	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17741	target
MTBLS161	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS161	untargeted metabolites		untargeted
MTBLS161	Energy metabolism	http://scai.fraunhofer.de/AlzheimerOntology#Energy_metabolism	target
MTBLS161	amino acid	http://purl.obolibrary.org/obo/CHEBI_33709	target
MTBLS162	Lipogenesis	http://purl.bioontology.org/ontology/MESH/D050155	target
MTBLS162	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400	target
MTBLS162	Direct Infusion Mass Spectrometry		un-mapped
MTBLS162	Dyslipidaemia	http://purl.bioontology.org/ontology/MEDDRA/10058108	target
MTBLS162	targeted metabolites		un-mapped
MTBLS163	liquid chromatography-tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000701	target
MTBLS163	endocannabinoid	http://purl.obolibrary.org/obo/CHEBI_67197	target
MTBLS163	lipoprotein	http://purl.obolibrary.org/obo/CHEBI_6495	target
MTBLS163	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS163	targeted metabolites		un-mapped
MTBLS164	untargeted metabolites		untargeted
MTBLS164	Walking	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73554	target
MTBLS164	Diabetes Mellitus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2985	target
MTBLS164	acetic acid	http://purl.obolibrary.org/obo/CHEBI_15366	target
MTBLS164	proton transfer reaction mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000570	target
MTBLS164	acetone	http://purl.obolibrary.org/obo/CHEBI_15347	target
MTBLS165	untargeted metabolites		untargeted
MTBLS165	Lactation	http://purl.bioontology.org/ontology/SNOMEDCT/63158009	target
MTBLS165	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS166	hexabromocyclododecane	http://purl.bioontology.org/ontology/MESH/C089796	target
MTBLS166	untargeted metabolites		untargeted
MTBLS166	amino acid	http://purl.obolibrary.org/obo/CHEBI_33709	target
MTBLS166	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS168	untargeted metabolites		untargeted
MTBLS168	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS168	epistasis	http://purl.obolibrary.org/obo/MI_0797	target
MTBLS169	comparative phenotypic assessment	http://purl.obolibrary.org/obo/OBI_0001546	target
MTBLS169	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS169	time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000580	target
MTBLS170	Methicillin Resistant Staphylococcus aureus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123515	target
MTBLS170	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS170	metabolite profiling	http://purl.obolibrary.org/obo/OBI_0000366	target
MTBLS170	untargeted metabolites		untargeted
MTBLS171	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS171	trimethylsilyl derivatisation	http://purl.obolibrary.org/obo/CHMO_0002758	target
MTBLS171	urine	http://purl.obolibrary.org/obo/BTO_0001419	target
MTBLS171	untargeted metabolites		untargeted
MTBLS172	untargeted metabolites		untargeted
MTBLS172	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS172	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	target
MTBLS172	Anesthesia	http://purl.bioontology.org/ontology/MESH/D000758	target
MTBLS173	Respiratory capacity		un-mapped
MTBLS173	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757	target
MTBLS173	aging	http://purl.obolibrary.org/obo/GO_0007568	target
MTBLS173	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	target
MTBLS173	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS173	targeted metabolites		un-mapped
MTBLS174	untargeted metabolites		untargeted
MTBLS174	Steatosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36185	target
MTBLS174	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	target
MTBLS174	Human Study Subject	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70665	target
MTBLS174	Serum global profiling		un-mapped
MTBLS174	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS175	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS175	multivariate statistics 		un-mapped
MTBLS175	(-)-methyl jasmonate	http://purl.obolibrary.org/obo/CHEBI_15929	target
MTBLS175	Terpenoid Biosynthesis Pathway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38872	target
MTBLS175	untargeted metabolites		untargeted
MTBLS175	targeted metabolites		un-mapped
MTBLS175	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS176	mass spectrometry	http://www.bioassayontology.org/bao#BAO_0000055	target
MTBLS176	desorption electrospray ionisation mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000484	target
MTBLS176	Matrix assisted laser desorption ionisation 		un-mapped
MTBLS177	targeted metabolites		un-mapped
MTBLS177	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	target
MTBLS177	DNA Damage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16507	target
MTBLS177	EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_62913	target
MTBLS177	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS178	untargeted metabolites		untargeted
MTBLS178	Sasang constitutional medicine	http://www.ebi.ac.uk/efo/EFO_0004892	target
MTBLS178	Multivariate statistics		un-mapped
MTBLS178	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS179	Airway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89842	target
MTBLS179	Bacterial Infection	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2890	target
MTBLS179	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009	target
MTBLS179	targeted metabolomics		un-mapped
MTBLS179	untargeted metabolomics		untargeted
MTBLS182	tracer-based metabolomics		un-mapped
MTBLS182	breast cancer	http://purl.obolibrary.org/obo/DOID_1612	target
MTBLS182	isotopologue		un-mapped
MTBLS182	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS183	tracer-based metabolomics		un-mapped
MTBLS183	breast cancer	http://purl.obolibrary.org/obo/DOID_1612	target
MTBLS183	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	target
MTBLS183	isotopologue		un-mapped
MTBLS183	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS183	Fluxomics	http://www.mygrid.org.uk/ontology/JERMOntology#Fluxomics	target
MTBLS183	glutamine	http://purl.obolibrary.org/obo/CHEBI_28300	target
MTBLS183	oligomycin	http://purl.obolibrary.org/obo/CHEBI_25675	target
MTBLS184	tracer-based metabolomics		un-mapped
MTBLS184	lung cancer	http://purl.obolibrary.org/obo/DOID_1324	target
MTBLS184	A549	http://www.ebi.ac.uk/efo/EFO_0001086	target
MTBLS184	isotopologue		un-mapped
MTBLS184	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS184	NCI-H460	http://www.ebi.ac.uk/efo/EFO_0003044	target
MTBLS184	BEAS-2B	http://www.ebi.ac.uk/efo/EFO_0001089	target
MTBLS184	Fluxomics	http://www.mygrid.org.uk/ontology/JERMOntology#Fluxomics	target
MTBLS185	untargeted metabolites		untargeted
MTBLS185	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS185	prednisolone	http://purl.obolibrary.org/obo/CHEBI_8378	target
MTBLS185	biomarker	http://purl.obolibrary.org/obo/CHEBI_59163	target
MTBLS187	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS187	microbial mat	http://purl.obolibrary.org/obo/ENVO_01000008	target
MTBLS187	poly(hydroxyalkanoate)	http://purl.obolibrary.org/obo/CHEBI_53387	target
MTBLS187	CETYL ESTERS WAX	http://purl.obolibrary.org/obo/DRON_00723553	target
MTBLS187	untargeted metabolites		untargeted
MTBLS187	targeted metabolites		un-mapped
MTBLS187	Chloroflexus	http://purl.bioontology.org/ontology/NCBITAXON/1107	target
MTBLS188	spike-in quality control role	http://purl.obolibrary.org/obo/OBI_0001140	target
MTBLS188	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS188	untargeted metabolites		untargeted
MTBLS189	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS189	untargeted metabolites		untargeted
MTBLS189	Astragali Radix		un-mapped
MTBLS189	chemical differences		un-mapped
MTBLS189	metabolic changes		un-mapped
MTBLS191	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	target
MTBLS191	untargeted metabolites		untargeted
MTBLS191	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS191	Glycolysis Pathway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39095	target
MTBLS191	high intensity excercise		un-mapped
MTBLS191	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS191	low volume		un-mapped
MTBLS193	Batch effects		un-mapped
MTBLS193	untargeted metabolites		untargeted
MTBLS193	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS194	Matrix effect		un-mapped
MTBLS194	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS194	Chemical isotope Labeling		un-mapped
MTBLS194	targeted metabolites		un-mapped
MTBLS196	untargeted metabolites		untargeted
MTBLS196	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS196	Systems biology	http://edamontology.org/topic_2259	target
MTBLS196	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS196	H1N1 Influenza	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80444	target
MTBLS196	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS197	ABCC5	http://purl.obolibrary.org/obo/NCBIGene_10057	target
MTBLS197	kainic acid	http://purl.obolibrary.org/obo/CHEBI_31746	target
MTBLS197	glutamate analogs		un-mapped
MTBLS197	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS197	glutamate conjugates		un-mapped
MTBLS197	untargeted metabolites		untargeted
MTBLS197	Blood-Brain-Barrier	http://www.projecthalo.com/aura#Blood-Brain-Barrier	target
MTBLS197	Neurotoxin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C688	target
MTBLS197	drug transport	http://purl.obolibrary.org/obo/GO_0015893	target
MTBLS197	neurotransmitter transport	http://purl.obolibrary.org/obo/GO_0006836	target
MTBLS197	MRP5	http://purl.obolibrary.org/obo/NCBIGene_839277	target
MTBLS198	untargeted metabolites		untargeted
MTBLS198	Cardiovascular health		un-mapped
MTBLS198	flavonoids	http://purl.obolibrary.org/obo/CHEBI_72544	target
MTBLS198	Dietary Intervention	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15447	target
MTBLS198	Fruit and vegetables		un-mapped
MTBLS200	Clinical Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15206	target
MTBLS200	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS200	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS200	untargeted metabolies		untargeted
MTBLS200	lung cancer	http://purl.obolibrary.org/obo/DOID_1324	target
MTBLS200	Personalized Medicine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84342	target
MTBLS203	untargeted metabolites		untargeted
MTBLS203	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS203	Natural variation 		un-mapped
MTBLS203	Herbivory	http://purl.bioontology.org/ontology/MESH/D060434	target
MTBLS203	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS203	Manduca sexta	http://purl.bioontology.org/ontology/NCBITAXON/7130	target
MTBLS203	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS208	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS208	nitrogen deprivation		un-mapped
MTBLS208	triglyceride	http://purl.obolibrary.org/obo/CHEBI_17855	target
MTBLS208	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS208	untargeted metabolites		untargeted
MTBLS209	targeted metabolites		un-mapped
MTBLS209	grape metabolome		un-mapped
MTBLS209	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS209	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS209	untargeted metabolites		untargeted
MTBLS209	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS210	Direct Infusion Mass Spectrometry		un-mapped
MTBLS210	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS210	untargeted metabolites		untargeted
MTBLS210	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS210	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502	target
MTBLS212	Wine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822	target
MTBLS212	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886	target
MTBLS212	time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000580	target
MTBLS212	Sauvignon blanc		un-mapped
MTBLS212	fermentation	http://purl.obolibrary.org/obo/CHMO_0001624	target
MTBLS212	untargeted metabolite profiling		untargeted
MTBLS212	sensory analysis		un-mapped
MTBLS212	solid-phase micro-extraction	http://purl.obolibrary.org/obo/CHMO_0001586	target
MTBLS213	untargeted metabolites		untargeted
MTBLS213	carbon tracking		un-mapped
MTBLS213	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS213	Diabetic Retinopathy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34538	target
MTBLS214	hyperosmotic salinity response	http://purl.obolibrary.org/obo/GO_0042538	target
MTBLS214	untargeted metabolites		untargeted
MTBLS214	dry eye syndrome	http://www.ebi.ac.uk/efo/EFO_1000906	target
MTBLS214	hyperosmolarity	http://purl.bioontology.org/ontology/DIAB/DIAB_000012	target
MTBLS214	osmoprotectants		un-mapped
MTBLS214	response to osmotic stress	http://purl.obolibrary.org/obo/GO_0006970	target
MTBLS214	ultra-fast liquid chromatography-mass spectrometry		un-mapped
MTBLS215	field ionisation mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000491	target
MTBLS215	targeted metabolites		un-mapped
MTBLS215	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS216	Toxoplasma gondii	http://purl.bioontology.org/ontology/NCBITAXON/5811	target
MTBLS216	untargeted metabolites		untargeted
MTBLS216	parasite host	http://purl.obolibrary.org/obo/IDO_0000536	target
MTBLS216	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS217	Toxoplasma gondii	http://purl.bioontology.org/ontology/NCBITAXON/5811	target
MTBLS217	untargeted metabolites		untargeted
MTBLS217	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS217	parasite host	http://purl.obolibrary.org/obo/IDO_0000536	target
MTBLS218	Bariatric Surgery	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84399	target
MTBLS218	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS218	untargeted metabolites		untargeted
MTBLS218	XCMS	http://purl.obolibrary.org/obo/MS_1001582	target
MTBLS219	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS219	Gene Knockout	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18143	target
MTBLS219	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	target
MTBLS219	untargeted metabolites		untargeted
MTBLS225	2,3,7,8-tetrachlorodibenzodioxine	http://purl.obolibrary.org/obo/CHEBI_28119	target
MTBLS225	Dose-Response Relationship, Drug	http://purl.bioontology.org/ontology/MESH/D004305	target
MTBLS225	targeted metabolites		un-mapped
MTBLS225	Hepatotoxicity	http://purl.bioontology.org/ontology/MEDDRA/10019851	target
MTBLS225	liquid chromatography-tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000701	target
MTBLS225	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS226	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886	target
MTBLS226	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	target
MTBLS226	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS226	Apoptosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17557	target
MTBLS226	untargeted metabolites		untargeted
MTBLS227	glycan	http://glycomics.ccrc.uga.edu/ontologies/GlycO#glycan	target
MTBLS227	colorectal cancer cell line	http://purl.obolibrary.org/obo/BTO_0001616	target
MTBLS227	nanoflow high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001279	target
MTBLS227	matrix-assisted laser desorption-ionisation mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000519	target
MTBLS227	untargeted metabolites		untargeted
MTBLS228	isotope method	http://purl.obolibrary.org/obo/FIX_0000359	target
MTBLS228	nanoscale high performance liquid chromatography mass spectrometry		un-mapped
MTBLS228	untargeted metabolites		untargeted
MTBLS228	DynaMet		un-mapped
MTBLS229	isotope method	http://purl.obolibrary.org/obo/FIX_0000359	target
MTBLS229	nanoscale high performance liquid chromatography mass spectrometry		un-mapped
MTBLS229	untargeted metabolites		untargeted
MTBLS229	DynaMet		un-mapped
MTBLS230	untargeted metabolites		untargeted
MTBLS230	phenotype	http://www.ebi.ac.uk/efo/EFO_0000651	target
MTBLS230	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS230	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	target
MTBLS233	untargeted metabolomics		untargeted
MTBLS233	Scan range splitting		un-mapped
MTBLS233	HPLC-MS	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS234	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS234	targeted metabolites		un-mapped
MTBLS234	LC-MS label-free quantitation analysis	http://purl.obolibrary.org/obo/MS_1001834	target
MTBLS235	targeted metabolites		un-mapped
MTBLS235	LC-MS label-free quantitation analysis	http://purl.obolibrary.org/obo/MS_1001834	target
MTBLS235	liquid chromatogaphy-mass spectrometry data simulation		un-mapped
MTBLS237	untargeted metabolites		untargeted
MTBLS237	Dysbiosis	http://purl.bioontology.org/ontology/MESH/D064806	target
MTBLS237	inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	target
MTBLS237	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	target
MTBLS237	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS237	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	target
MTBLS240	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	target
MTBLS240	Familial adenomatous polyposis	http://www.orpha.net/ORDO/Orphanet_733	target
MTBLS240	Apc_Min/+		un-mapped
MTBLS240	maslinic acid	http://purl.obolibrary.org/obo/CHEBI_66682	target
MTBLS240	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS240	untargeted metabolites		untargeted
MTBLS241	breast cancer	http://purl.obolibrary.org/obo/DOID_1612	target
MTBLS241	tracer-based metabolomics		un-mapped
MTBLS241	isotopomer	http://www.semanticweb.org/ontologies/2010/3/Ontology1271664172453.owl#isotopomer	target
MTBLS241	Fluxomics	http://www.mygrid.org.uk/ontology/JERMOntology#Fluxomics	target
MTBLS241	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS242	untargeted metabolites		untargeted
MTBLS242	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS242	gastric bypass	http://www.ebi.ac.uk/efo/EFO_0005244	target
MTBLS242	Sleeve gastrectomy	http://purl.bioontology.org/ontology/MEDDRA/10070978	target
MTBLS243	reversed-phase solid-phase extraction	http://purl.obolibrary.org/obo/CHMO_0001585	target
MTBLS243	inflammation	http://purl.obolibrary.org/obo/MP_0001845	target
MTBLS243	targeted metabolites		un-mapped
MTBLS243	arthritis	http://www.ebi.ac.uk/efo/EFO_0005856	target
MTBLS243	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS243	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS244	peritoneal macrophage	http://purl.obolibrary.org/obo/CL_0000581	target
MTBLS244	ovarian surface epithelial cell		un-mapped
MTBLS244	Fluxomics	http://www.mygrid.org.uk/ontology/JERMOntology#Fluxomics	target
MTBLS244	Co-Culture	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93168	target
MTBLS244	isotopologue		un-mapped
MTBLS244	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS244	tracer-based metabolomics		un-mapped
MTBLS247	PEPA		un-mapped
MTBLS247	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS247	untargeted metabolites		untargeted
MTBLS247	tracer		un-mapped
MTBLS247	exonuclease 3'-5' domain-containing protein 2	http://purl.obolibrary.org/obo/PR_000030843	target
MTBLS249	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	target
MTBLS249	targeted metabolites		un-mapped
MTBLS249	Skeletal muscle dysfunction 		un-mapped
MTBLS249	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	target
MTBLS249	Endurance training		un-mapped
MTBLS249	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS253	targeted metabolites		un-mapped
MTBLS253	chronic hepatitis B infection	http://www.ebi.ac.uk/efo/EFO_0004239	target
MTBLS253	inflammation	http://purl.obolibrary.org/obo/MP_0001845	target
MTBLS253	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS253	solid-phase micro-extraction	http://purl.obolibrary.org/obo/CHMO_0001586	target
MTBLS256	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS256	Pattern_Recognition	http://www.cvrgrid.org/files/ECGOntologyv1.owl#ECG_000000395	target
MTBLS256	untargeted metabolites		untargeted
MTBLS256	Duchenne muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_98896	target
MTBLS256	taurine	http://purl.obolibrary.org/obo/CHEBI_15891	target
MTBLS259	D.pulex WTN6		un-mapped
MTBLS259	Environmental sex determination (ESD)		un-mapped
MTBLS259	Direct Infusion Mass Spectrometry		un-mapped
MTBLS259	untargeted metabolites		untargeted
MTBLS260	silver nanoparticle	http://purl.obolibrary.org/obo/CHEBI_50826	target
MTBLS260	silver(0)	http://purl.obolibrary.org/obo/CHEBI_9141	target
MTBLS260	Direct Infusion Mass Spectrometry		un-mapped
