StudyID,term
MTBLS433,Region;Variety;Production Type;Harvest Date;Fruitiness;Bitterness;Pungent;Fusty;Musty;Rancid;Oil Quality
MTBLS434,Identifier;Genotype_Commonname;Genotype_Systematicname;Batch;Analysis_Time;Sample_Type
MTBLS435,Replicate;Label;Sample Type
MTBLS436,Anabolic Treatment
MTBLS437,Protein Overexpression;Gene Suppression;Selection Marker Gene;Cultivation Technique;Postharvest Handling
MTBLS438,Infection
MTBLS439,Replicate
MTBLS440, Gender
MTBLS441,Genotype;Time After Inoculation
MTBLS442, Gender
MTBLS443,Metabolomics
MTBLS444,Tissue;Human State;Disease
MTBLS445,Elevation
MTBLS445,Location
MTBLS445,Month Of Collection
MTBLS445,Season
MTBLS445,Year Of Collection
MTBLS447,Mutant;Plant Tissue;Replicate
MTBLS448,Mutant
MTBLS449,Control;Birth Weight;Fetal Exposure During Pregnancy;Antiretroviral Therapy;Gender;Gestation Period;Maternal Age;Parturition;Ethnic Group;Maternal Viral Load;Cd4-Positive T-Lymphocytes;Time Post Exposure;Compound;Dose
MTBLS450,Mediator Arabidopsis Complex
MTBLS451,Replicate;Fermetation Process;Timepoint
MTBLS452,Treatment;Replicate;Batch
MTBLS453,Toxic Load;Experiment Duration
MTBLS454,In Vitro / In Vitro
MTBLS455,Protein Challenge
MTBLS456,Vaccination;Sample Type;Replicate
MTBLS457,Bd Exposure;Bd Exposure Date;Sample Mass;Post Mortem Dissection;Site;Site-Specific Bd Exposure;Sex;Clinical State At Time Of Death;Bd Exposed;Sham Exposed;4 Day Post-Exposure Sampling;8 Day Post-Exposure Sampling;14 Day Post-Exposure Sampling;Sampling Group;Death;Survival Duration
MTBLS458,Disease
MTBLS459,Treatment;Timepoint;Experiment;Replicate
MTBLS460,Inoculation;Time Post-Inoculation;Biological Replicate
MTBLS461,Time;Filtration;Whole Seawater
MTBLS463,Carbon Source
MTBLS464,Batch;Treatment;Timepoint;Replicate
MTBLS465,Sample Type
MTBLS467, Gender
MTBLS469,Person
MTBLS469,Meal
MTBLS469,Time Point
MTBLS469,Arm
MTBLS469,Gender
MTBLS470,Sample Type
MTBLS471,Infection;Replicate
MTBLS472,Treatment;Genotype;Replicate
MTBLS473,Time Point;Meal;Person
MTBLS475,Age
MTBLS475,Gender
MTBLS475,Type 2 Diabetes
MTBLS475,Lipid Lowering Medication
MTBLS476,Diagnostic
MTBLS478,Gene
MTBLS479,Concentration Of Willow Bark Extract;Treatment With Human Fecal Suspension;Incubation Time
MTBLS480,Extraction Solution
MTBLS481,Inoculation;Alkali Stress
MTBLS482,Treatment Concentration;Treatment
MTBLS483,Treatment Time;Replicate
MTBLS484,Pitcher Plant;Replicate
MTBLS487,Tissue Type
MTBLS488,Treatment
MTBLS491,Day
MTBLS491,Genotype
MTBLS491,Gene Knockout
MTBLS491,Medium
MTBLS491,Carbon Source
MTBLS492,Wetting Time;Successional Stage;Replicate
MTBLS493,Cell Line;Biological Replicate;Run Order;Pooled
MTBLS494,Plant Component
MTBLS495,Aging;Replicate
MTBLS496,Replicate
MTBLS496,Methanol Extract
MTBLS496,Genotype
MTBLS497,Media
MTBLS497,Time
MTBLS497,Bacteria
MTBLS516,Reperfusion Time
MTBLS516,Age
MTBLS517,Run Order;Time Point;Batch Run Order;Artemether Treatment
MTBLS518,Run Order;Time Point;Batch Run Order;Artemether Treatment
MTBLS519,Time Elapsed;Sample Type;Replicate
MTBLS520,Species;Season;Species Code;Exposition;Soil Humidity;Light Conditions;Substrate;Fresh Weight;Sample Batch Number;Lcms Date;Sample Date;Collection Season;Plant Development Stage
MTBLS521,Plant Defence
MTBLS522,Herbal Supplements
MTBLS523,Pla2G1B
MTBLS524,Case/Control
MTBLS525,Time;Replicate
MTBLS526,Time Elapsed
MTBLS526,Coronatine Treatment
MTBLS526,Sampling Time
MTBLS527,Photoaging
MTBLS528,Genotype;Replicate
MTBLS529,Replicate
MTBLS529,Genotype
MTBLS530,Genotype;Brain Region
MTBLS531,Tissue
MTBLS532,Compound
MTBLS532,Dose
MTBLS535,Species
MTBLS536,Run Order;Time Point;Batch Run Order;Artemether Treatment
MTBLS537,Gene Expression
MTBLS538,Temperature Treatment 
MTBLS538,Stress Duration
MTBLS538,Symbiotic Partner
MTBLS539,Diet
MTBLS539,Week
MTBLS539,Time Post Exposure
MTBLS540,Sample Type
MTBLS541,Oxygen Level;Cell Or Tumour
MTBLS542,Run Order;Time Point;Batch Run Order;Mean Pearsons Correlation;Artemether Treatment
MTBLS543,Diagnosis
MTBLS544,Inoculation Date
MTBLS544,Treatment
MTBLS544,Pool
MTBLS544,Genotype
MTBLS544,Replicate
MTBLS544,Sample Date
MTBLS544,Growth Chamber
MTBLS544,Tissue
MTBLS544,Plot
MTBLS545,Diet;Intervention
MTBLS546,Diet;Intervention
MTBLS547,Diet;Intervention
MTBLS548,Diet;Intervention
MTBLS549,Fasting Time
MTBLS550,Biological Replicates
MTBLS550,Genotype
MTBLS550,Time
MTBLS550,Inoculation
MTBLS552,Group
MTBLS553,Genotype;Replicates
MTBLS554,Treatment
MTBLS555,Plant Genotype;Bacterial Strain;Replicate
MTBLS557,Sex
MTBLS557,Location
MTBLS557,Volume
MTBLS557,Distance
MTBLS557,Flow
MTBLS557,Date
MTBLS557,N_Runs
MTBLS557,Tube
MTBLS558,Phenotype;Replicate;Ms Format
MTBLS559,Non-Treatment
MTBLS559,Hxa Treatment 
MTBLS559,Cultivate
MTBLS559,Aza Treatment
MTBLS559,Time Points
MTBLS559,Replacates
MTBLS560,Apparent Metabolisable Energy;Gender;Coefficient Of Digestive Utilisation Of Starch;Coefficient Of Digestive Utilisation Of Lipids;Coefficient Of Digestive Utilisation Of Nitrogen
MTBLS561,Treatment
MTBLS562,Aging;Replicate
MTBLS563,Diagnosis
MTBLS564,Diagnosis
MTBLS566,Tissue
MTBLS567,Replicate
MTBLS567,Strain
MTBLS567,Light
MTBLS567,Treatment
MTBLS570,Inflammation;Dataset
MTBLS571,Treatment
MTBLS571,Time
MTBLS572,Carbon Source
MTBLS573,Plant Defence
MTBLS574,Site;Phenotype Id
MTBLS575,Infestation;Biological Replicate;Genotype
MTBLS576,Type
MTBLS579,Carriage Status;Gender;Analytical Run Order;Fever;Right Upper Quadrant Pain;Right Upper Quadrand Tenderness;Fever 5 Days On Entry;Previous History Of Typhoid;Antibiotics 15 Days;Jaundice At Admission;Previous Jaundice;Previous Acute Cholecystitis;Previous Hospital Due To Cholecystitis;Pancreatitis;Diabetes;Gallbladder Tissue Thickness;Gall Stones;Treatment With Inj. Cefazoline;Total Cell Count;Neutrophils;Lymphocytes;Monocytes;Eosiniphils;Total Bilirubin;Conjugated Bilirubin;Aspartate Transaminase;Alanine Transaminase;Alkaline Phosphatase;Amylase
MTBLS580,Mycotoxins Treatment
MTBLS580,Control
MTBLS581,Plant Growth Regulator;Extract Type;Technical Replicates
MTBLS582,Replicate;Treatment
MTBLS585,Metabolomics
MTBLS586,Mouse T.Gondii
MTBLS588,Au Layer Test
MTBLS589,Au Layer
MTBLS591,Copd Gold Stage
MTBLS593,Dss-Inducted Colitis
MTBLS593,Mutation
MTBLS593,Recovery
MTBLS593,Gender
MTBLS593,Time Elapsed
MTBLS594,Preparation
MTBLS595,Fruit Tissue
MTBLS595,Ripening Stage 
MTBLS596,Sex
MTBLS596,Treatment
MTBLS596,Time
MTBLS596,Genotype
MTBLS597,Replicates
MTBLS598,Age;Gender;Frailty Index Score
MTBLS599,Age
MTBLS600,Age
MTBLS601,Age
MTBLS602,Genotype;Sex;Treatment;Time Of Treatment;Age
MTBLS606,Age
MTBLS607,Age
MTBLS608,Transcription Factor Expression
MTBLS609,Ph
MTBLS612,Age
MTBLS613,Gonphrena Leave
MTBLS614,Genotype;Diet
MTBLS615,Age
MTBLS616,Sampling Time
MTBLS617,Culture 
MTBLS618,Replicate
MTBLS618,Time Post Infection
MTBLS619,Diet
MTBLS619,Method
MTBLS620,Age;Disease Status;Antibody Status;Time Point
MTBLS621,Milk Dilution Before Ultrafiltration
MTBLS621,Ultrafiltration Filter Washing
MTBLS621,Comparison Of Diet
MTBLS621,Comparison Of Sample Preparationmethods
MTBLS621,Recovery Of Chosen Metabolites
MTBLS621,Visualization Of The Spectra
MTBLS622,Carbon Dioxide Treatment
MTBLS622,Virus Treatment
MTBLS623,Milk Dilution Before Ultrafiltration
MTBLS623,Ultrafiltration Filter Washing
MTBLS623,Comparison Of Diet
MTBLS623,Recovery Of Chosen Metabolites
MTBLS623,Visualization Of The Spectra
MTBLS623,Comparison Of Sample Preparation Methods
MTBLS624,Cysteine
MTBLS624,Methionine
MTBLS624,Glutamine
MTBLS624,Ph
MTBLS624,Proline
MTBLS624,Strain
MTBLS624,Arginine
MTBLS625,Condition
MTBLS625,Patient/Healthy Control
MTBLS626,Tissue Type;Treatment
MTBLS627,Id
MTBLS627,Plasma Pd5
MTBLS627,Uterus Pd5
MTBLS627,Plasma D5
MTBLS627,Uterus D5Is
MTBLS627,Uterus D5Iis
MTBLS627,Non-Id
MTBLS627,Plasma D1
MTBLS627,Plasma D4
MTBLS627,Uterus D4
MTBLS627,Uterus D1
MTBLS628,Poplar Genotypes Xylem
MTBLS629,Experimental Group
MTBLS630,Strain;Time Elapsed;Presence Of Polymyxin;Replicate
MTBLS631,Experimental Group
MTBLS633,Experimental Group
MTBLS634,Experimental Group
MTBLS636,Lipid Supplementation
MTBLS636,Replicate
MTBLS636,Organism
MTBLS638,Replicate
MTBLS638,Location
MTBLS638,Species
MTBLS638,Month
MTBLS639,Infection
MTBLS639,Time
MTBLS641,Total Mass Injected
MTBLS642,Strain Design
MTBLS642,Arabinose Supplementation Time
MTBLS642,Time
MTBLS643,Experiment
MTBLS643,Sampling Day
MTBLS644,Replicate
MTBLS644,Organism
MTBLS646,Gfr
MTBLS646,Study Number
MTBLS646,Response To Treatment
MTBLS646,Nmr Column Number
MTBLS646,Gender
MTBLS646,Age
MTBLS646,Group
MTBLS647,Drug
MTBLS647,Genotype
MTBLS648,Drug;Genotype
MTBLS652,Infection;Gene Knockout
MTBLS653,Time Collection
MTBLS654,Jeotgal
MTBLS655,Brand Name
MTBLS655,Sample Type
MTBLS656,Collection Time;Replicate
MTBLS658,Cell Number;Ns;Incubation Time;Neutrophil Activation
MTBLS661,Genotype;Batch;Replicate;Treatment
MTBLS662,Genotype
MTBLS662,Time
MTBLS663,Species
MTBLS663,Replicate
MTBLS663,Extraction
MTBLS663,Environmental Factors
MTBLS663,Strain
MTBLS664,Freeze-Thaw
MTBLS664,Run Order
MTBLS664,Batch Run Order
MTBLS664,Diagnosis
MTBLS664,Well Position
MTBLS664,Anticoagulant
MTBLS665,Run Order;Time Point;Batch Run Order;Previous Malaria Infection
MTBLS666,Age
MTBLS666,Genotype
MTBLS667,Age;Genotype
MTBLS668,Quality Control
MTBLS668,Insulin Resistance
MTBLS668,Obesity
MTBLS669,Tumor Microenvironment
MTBLS670,Sample Preparation
MTBLS671,Species
MTBLS671,Fertilized_Unfertilized
MTBLS671,Plot Type_Explo_Fert
MTBLS671,Plot Type
MTBLS671,Species Explo
MTBLS671,Plant
MTBLS671,Site
MTBLS671,Exploratory
MTBLS671,Plot
MTBLS671,Fresh Weight [Mg]
MTBLS672,Starvation Period
MTBLS673,Feeding Diets
MTBLS673,Replicate
MTBLS673,Gender
MTBLS675,Exercise
MTBLS675,Gender
MTBLS675,Age
MTBLS678,Cell/Media
MTBLS679,Season
MTBLS679,Species
MTBLS679,Designed Diversity
MTBLS679,Functional Group
MTBLS680,Drug Treatment
MTBLS680,Genotype
MTBLS682,Concentration
MTBLS682,Drug
MTBLS682,Replicate
MTBLS682,Polarity
MTBLS682,Cell Line
MTBLS682,Time
MTBLS683,Vegetable Intake
MTBLS683,Collection Time Period
MTBLS685,Genotype
MTBLS685,Drug Treatment
MTBLS685,Drug Treatment_B
MTBLS687,Species
MTBLS687,Fertilized_Unfertilized
MTBLS687,Plot Type_Explo_Fert
MTBLS687,Plot Type
MTBLS687,Species Explo
MTBLS687,Plant
MTBLS687,Site
MTBLS687,Exploratory
MTBLS687,Plot
MTBLS687,Fresh Weight [Mg]
MTBLS688,Location
MTBLS688,Species
MTBLS688,Year
MTBLS689,Time Point
MTBLS689,Run Order
MTBLS690,Gsis
MTBLS690,Year Of Birth
MTBLS690,Hba1C
MTBLS690,Gender
MTBLS690,Age
MTBLS690,Body-Mass Index
MTBLS691,Timepoint
MTBLS691,Arthemeter Treatment
MTBLS691,Well Position
MTBLS692,Gene Knockout
MTBLS692,Replicate
MTBLS692,Organ
MTBLS693,Genotype;Replicate;Tissue;Season
MTBLS694,Dilution
MTBLS695,Infected
MTBLS695,Treated
MTBLS695,Biological Replicate
MTBLS695,Technical Replicate
MTBLS696,Infected;Treated;Biological Replicate;Technical Replicate
MTBLS697,Timepoint
MTBLS697,Arthemeter Treatment
MTBLS697,Well Position
MTBLS698,Life Stage
MTBLS698,Gender
MTBLS699,Organ
MTBLS699,Ppf_Led
MTBLS699,Flowering_Period
MTBLS700,Dialysis Frequency
MTBLS700,Urea
MTBLS700,Egfr
MTBLS700,Esrd Status
MTBLS700,Gender
MTBLS700,Bmi
MTBLS700,Age
MTBLS700,Crea
MTBLS701,Replicates
MTBLS703,Replicate
MTBLS703,Cobalamin
MTBLS703,Light
MTBLS704,Two Group Classification Ms/Control
MTBLS705,Species
MTBLS706,Carbon Source
MTBLS706,Gentotype
MTBLS707,Location
MTBLS707,Species
MTBLS707,Habitat
MTBLS707,Time
MTBLS708,Replicate
MTBLS708,Cobalamin
MTBLS708,Light
MTBLS709,Season
MTBLS709,Species
MTBLS723,Gene Knock-Out
MTBLS724,Diet
MTBLS724,Genotype
MTBLS720,Amino Acid Supplementation
