studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		Infection	http://purl.obolibrary.org/obo/OMIT_0008366	
		infection	http://purl.obolibrary.org/obo/MI_0310	
		infection	http://www.ebi.ac.uk/efo/EFO_0000544	The state of being infected such as from the introduction of a foreign agent such as serum, vaccine, antigenic substance or organism.
		Adverse Event Associated with Infection	http://purl.obolibrary.org/obo/NCIT_C53791	
		Infectious Disorder	http://purl.obolibrary.org/obo/NCIT_C26726	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.
MTBLS96	Sample Collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		specimen collection process	http://purl.obolibrary.org/obo/OBI_0000659	A planned process with the objective of collecting a specimen.
MTBLS99	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Biospecimen Type	http://purl.obolibrary.org/obo/NCIT_C70713	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.
MTBLS99	Replicate	Replicate	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28038	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS99	Batch	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS105	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS106	Cell line	cell line	http://purl.obolibrary.org/obo/CLO_0000031	
		Cell Line	http://purl.obolibrary.org/obo/NCIT_C16403	A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.
		cell line	http://purl.obolibrary.org/obo/CLO_0000031	A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).
		cell line	http://semanticscience.org/resource/SIO_010054	A cell line is a collection of genetically identifical cells.
		Cell Line	http://purl.obolibrary.org/obo/OMIT_0003789	
		cell line	http://www.ebi.ac.uk/efo/EFO_0000322	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
		Epigenome	http://ensembl.org/glossary/ENSGLOSSARY_0000356	A cell type, such as a primary tissue or lab cell line, for which we have epigenome evidence and can predict regulatory features.
		cultured cell	http://purl.obolibrary.org/obo/CL_0000010	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
MTBLS107	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848	
MTBLS107	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		Carotenoids	http://purl.obolibrary.org/obo/OMIT_0003671	
		Carotenoid	http://purl.obolibrary.org/obo/NCIT_C351	A class of hydrocarbons (carotenes) and their oxygenated derivatives which exhibit chemopreventive properties.  Carotenoids are pigments found in green, yellow, and leafy vegetables, and yellow fruits. The pigments are fat-soluble, unsaturated aliphatic hydrocarbons functioning as provitamins and are converted to vitamin A through enzymatic processes in the intestinal wall.
MTBLS108	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848	
MTBLS108	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		Carotenoids	http://purl.obolibrary.org/obo/OMIT_0003671	
		Carotenoid	http://purl.obolibrary.org/obo/NCIT_C351	A class of hydrocarbons (carotenes) and their oxygenated derivatives which exhibit chemopreventive properties.  Carotenoids are pigments found in green, yellow, and leafy vegetables, and yellow fruits. The pigments are fat-soluble, unsaturated aliphatic hydrocarbons functioning as provitamins and are converted to vitamin A through enzymatic processes in the intestinal wall.
MTBLS109	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848	
MTBLS109	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		Carotenoids	http://purl.obolibrary.org/obo/OMIT_0003671	
		Carotenoid	http://purl.obolibrary.org/obo/NCIT_C351	A class of hydrocarbons (carotenes) and their oxygenated derivatives which exhibit chemopreventive properties.  Carotenoids are pigments found in green, yellow, and leafy vegetables, and yellow fruits. The pigments are fat-soluble, unsaturated aliphatic hydrocarbons functioning as provitamins and are converted to vitamin A through enzymatic processes in the intestinal wall.
MTBLS110	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848	
MTBLS110	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		Carotenoids	http://purl.obolibrary.org/obo/OMIT_0003671	
		Carotenoid	http://purl.obolibrary.org/obo/NCIT_C351	A class of hydrocarbons (carotenes) and their oxygenated derivatives which exhibit chemopreventive properties.  Carotenoids are pigments found in green, yellow, and leafy vegetables, and yellow fruits. The pigments are fat-soluble, unsaturated aliphatic hydrocarbons functioning as provitamins and are converted to vitamin A through enzymatic processes in the intestinal wall.
MTBLS111	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848	
MTBLS111	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		Carotenoids	http://purl.obolibrary.org/obo/OMIT_0003671	
		Carotenoid	http://purl.obolibrary.org/obo/NCIT_C351	A class of hydrocarbons (carotenes) and their oxygenated derivatives which exhibit chemopreventive properties.  Carotenoids are pigments found in green, yellow, and leafy vegetables, and yellow fruits. The pigments are fat-soluble, unsaturated aliphatic hydrocarbons functioning as provitamins and are converted to vitamin A through enzymatic processes in the intestinal wall.
MTBLS112	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS112	Time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Timepoint	http://purl.obolibrary.org/obo/NCIT_C68568	A specific point in the time continuum, including those established relative to an event.
MTBLS113	Colour	Color	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37927	
		color	http://purl.obolibrary.org/obo/PATO_0000014	A composite chromatic quality composed of hue, saturation and intensity parts.
MTBLS114	Caloric restriction	Percentage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25613	
		Caloric Restriction	http://purl.obolibrary.org/obo/OMIT_0021881	
MTBLS116	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS117	Time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Timepoint	http://purl.obolibrary.org/obo/NCIT_C68568	A specific point in the time continuum, including those established relative to an event.
MTBLS117	Infection	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Infection	http://purl.obolibrary.org/obo/NCIT_C128320	The invasion of an organism's body tissues by disease-causing agents and their multiplication, as well as the reaction by the host to these organisms and/or toxins that the organisms produce.
		infection	http://epidemiology_ontology.owl#EO:0000038	"(Syn: colonization) The entry and development or multiplication of an infectious agent in the body of man or animals. Infection is not synonymous with infectious disease; the result may be inapparent or manifest. The presence of living infectious agents on exterior surfaces of the body is called ""infestation"" (e.g., pediculosis, scabies). The presence of living infectious agents upon articles of apparel or soiled articles is not infection, but represents contamination of such articles."
		infection	http://purl.obolibrary.org/obo/OBI_1110021	the detrimental process in which an infectious agent colonizes or replicates in a host environment
		infection	http://purl.obolibrary.org/obo/IDO_0000586	A part of an extended organism that itself has as part a population of one or more infectious agents and that (1) exists as a result of processes initiated by members of the infectious agent population and is (2) clinically abnormal in virtue of the presence of this infectious agent population, or (3) has a disposition to bring clinical abnormality to immunocompetent organisms of the same Species as the host (the organism corresponding to the extended organism) through transmission of a member or offspring of a member of the infectious agent population.
		Infection	http://scdontology.h3abionet.org/ontology/SCDO_0000635	Invasion of the host organism by microorganisms that can cause pathological conditions or diseases.
		Infection	http://purl.obolibrary.org/obo/OMIT_0008366	
		infection	http://purl.obolibrary.org/obo/MI_0310	
		infection	http://www.ebi.ac.uk/efo/EFO_0000544	The state of being infected such as from the introduction of a foreign agent such as serum, vaccine, antigenic substance or organism.
		Adverse Event Associated with Infection	http://purl.obolibrary.org/obo/NCIT_C53791	
		Infectious Disorder	http://purl.obolibrary.org/obo/NCIT_C26726	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.
MTBLS117	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS118	Time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Timepoint	http://purl.obolibrary.org/obo/NCIT_C68568	A specific point in the time continuum, including those established relative to an event.
MTBLS118	Infection	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Infection	http://purl.obolibrary.org/obo/NCIT_C128320	The invasion of an organism's body tissues by disease-causing agents and their multiplication, as well as the reaction by the host to these organisms and/or toxins that the organisms produce.
		infection	http://epidemiology_ontology.owl#EO:0000038	"(Syn: colonization) The entry and development or multiplication of an infectious agent in the body of man or animals. Infection is not synonymous with infectious disease; the result may be inapparent or manifest. The presence of living infectious agents on exterior surfaces of the body is called ""infestation"" (e.g., pediculosis, scabies). The presence of living infectious agents upon articles of apparel or soiled articles is not infection, but represents contamination of such articles."
		infection	http://purl.obolibrary.org/obo/OBI_1110021	the detrimental process in which an infectious agent colonizes or replicates in a host environment
		infection	http://purl.obolibrary.org/obo/IDO_0000586	A part of an extended organism that itself has as part a population of one or more infectious agents and that (1) exists as a result of processes initiated by members of the infectious agent population and is (2) clinically abnormal in virtue of the presence of this infectious agent population, or (3) has a disposition to bring clinical abnormality to immunocompetent organisms of the same Species as the host (the organism corresponding to the extended organism) through transmission of a member or offspring of a member of the infectious agent population.
		Infection	http://scdontology.h3abionet.org/ontology/SCDO_0000635	Invasion of the host organism by microorganisms that can cause pathological conditions or diseases.
		Infection	http://purl.obolibrary.org/obo/OMIT_0008366	
		infection	http://purl.obolibrary.org/obo/MI_0310	
		infection	http://www.ebi.ac.uk/efo/EFO_0000544	The state of being infected such as from the introduction of a foreign agent such as serum, vaccine, antigenic substance or organism.
		Adverse Event Associated with Infection	http://purl.obolibrary.org/obo/NCIT_C53791	
		Infectious Disorder	http://purl.obolibrary.org/obo/NCIT_C26726	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.
MTBLS118	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS120	Mutation	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	
		mutation	http://purl.obolibrary.org/obo/OGI_0000088	In genetics, a mutation is a change of the nucleotide sequence of the genome of an organism, virus, or extrachromosomal genetic element. 
		mutation	http://purl.obolibrary.org/obo/IDOMAL_50000026	A permanent change in the DNA sequence of a gene that alters the genetic message carried by that gene.
		Mutation	http://purl.obolibrary.org/obo/OMIT_0010192	
		mutation	http://purl.obolibrary.org/obo/VariO_0139	Any process generating variation.
		mutation	http://purl.obolibrary.org/obo/GENO_0000492	A sequence alteration that is very rare allele in a population (typically <1%), or an experimentally-induced variation that derives from a wild-type feature in a given strain.
		mutation	http://purl.obolibrary.org/obo/MI_0118	
		Mutation Abnormality	http://purl.obolibrary.org/obo/NCIT_C45576	Any transmissible change in the genetic material of an organism, which can result from radiation, viral infection, transposition, treatment with mutagenic chemicals and errors during DNA replication or meiosis. The effects of mutation range from single base changes to loss or gain of complete chromosomes. As many of the simpler alterations to DNA may be repaired, such changes are only heritable once the change is fixed in the DNA by the process of replication. Mutations may be associated with genetic diversity or with pathologies including cancer.
		Genetic variation	http://edamontology.org/topic_0199	Stable, naturally occuring mutations in a nucleotide sequence including alleles, naturally occurring mutations such as single base nucleotide substitutions, deletions and insertions, RFLPs and other polymorphisms.
MTBLS123	Survival	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Survival	http://purl.obolibrary.org/obo/NCIT_C17177	Continuance of life or existence especially under adverse conditions; includes methods and philosophy of survival.
		survival	http://purl.obolibrary.org/obo/ERO_0001915	
		Survival	http://purl.obolibrary.org/obo/OMIT_0014399	
		Survival	http://www.cropontology.org/rdf/CO_357:1000070	Assessment of the survival state of the tree
		survival time	http://www.ebi.ac.uk/efo/EFO_0000714	Time of survival is an information entity which is about the length of time a material entity has survived after some adverse event, such as infection from a disease.
		life span trait	http://purl.obolibrary.org/obo/VT_0005372	Any measurable or observable characteristic pertaining to the period of time an organism survives or is expected to survive or maintains or is expected to maintain a specific function.
		SUR	http://www.cropontology.org/rdf/CO_357:0000082	
MTBLS123	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS124	RMSD	Standard Deviation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53322	
		Root-mean-square deviation	http://edamontology.org/data_1497	
MTBLS124	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150	
		Age	http://purl.obolibrary.org/obo/NCIT_C25150	How long something has existed; elapsed time since birth.
		age	http://purl.obolibrary.org/obo/PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://purl.obolibrary.org/obo/FBdv_00007013	Temporal subdivision of life based on time elapsed since some key developmental transition, such as fertilization, hatching or eclosion.
		age	http://www.ebi.ac.uk/efo/EFO_0000246	A temporal measurement of the time period elapsed since an identifiable point in the life cycle of an organism. If a developmental stage is specified, the identifiable point would be the beginning of that stage. Otherwise the identifiable point must be specified such as planting (e.g. 3 days post planting).
		age	http://purl.org/obo/owl/PATO#PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://semanticscience.org/resource/SIO_001013	age is the length of time that a person has lived or a thing has existed.
		Age	http://scdontology.h3abionet.org/ontology/SCDO_0000030	How long something has existed; elapsed time since birth.
		Age	http://purl.obolibrary.org/obo/GAZ_00416544	A river. Discharges to the Gulf of Riga.
		age	http://opendata.inra.fr/ATOL/ATOL_0000088	
		N-acylglucosamine 2-epimerase	http://purl.obolibrary.org/obo/PR_000013884	A protein that is a translation product of the human RENBP gene or a 1:1 ortholog thereof.
MTBLS124	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS125	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS125	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		Portion of tissue	http://purl.obolibrary.org/obo/FMA_9637	Anatomical structure which has as its parts cells of predominantly one type with or without intercellular matrix. Examples: epithelium, muscle tissue, connective tissue, neural tissue, lymphoid tissue.
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
MTBLS126	Base	base	http://purl.bioontology.org/ontology/HL7/C1550601	
		Base	http://purl.obolibrary.org/obo/NCIT_C92955	The underlying or supportive part of an anatomic structure.
		base	http://purl.obolibrary.org/obo/CHEBI_22695	A molecular entity having an available pair of electrons capable of forming a covalent bond with a hydron (Bronsted base) or with the vacant orbital of some other molecular entity (Lewis base).
		Base	http://purl.obolibrary.org/obo/NCIT_C48055	The most important or necessary part of something.
		Base	http://purl.obolibrary.org/obo/NCIT_C48056	A substance that dissociates to give hydroxide ions in aqueous solutions; a substance capable of donating a pair of electrons (to an acid) for the formation of a coordinate covalent bond; a substance whose molecule or ion can combine with a proton (hydrogen ion); a substance that combines with acids to form salts.
		basal region	http://purl.obolibrary.org/obo/DDANAT_0000110	Region of the early pseudoplasmodium located at the closest to the substratum composed of pstB cells.
		base	http://purl.obolibrary.org/obo/SO_0001236	A base is a sequence feature that corresponds to a single unit of a nucleotide polymer.
		base	http://semanticscience.org/resource/SIO_010454	A base is a molecular entity dissolved in a solvent that is capable of accepting a proton (Bronsted base) or forming a covalent bond with a hydron (Lewis base) .
		base	http://www.owl-ontologies.com/2005/08/07/xsp.owl#base	
		Dental Base	http://purl.obolibrary.org/obo/NCIT_C62564	Material used on the surfaces of a prepared cavity for protection and insulation of the tooth tissues prior to placement of a restoration.
		V1 segment of the vertical lobe	http://purl.obolibrary.org/obo/FBbt_00110199	Ventral-most segment of the vertical lobe of the larval mushroom body, ventral to V2.
MTBLS126	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		Portion of tissue	http://purl.obolibrary.org/obo/FMA_9637	Anatomical structure which has as its parts cells of predominantly one type with or without intercellular matrix. Examples: epithelium, muscle tissue, connective tissue, neural tissue, lymphoid tissue.
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
MTBLS127	Cell line	cell line	http://www.ebi.ac.uk/efo/EFO_0000322	
		Cell Line	http://purl.obolibrary.org/obo/NCIT_C16403	A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.
		cell line	http://purl.obolibrary.org/obo/CLO_0000031	A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).
		cell line	http://semanticscience.org/resource/SIO_010054	A cell line is a collection of genetically identifical cells.
		Cell Line	http://purl.obolibrary.org/obo/OMIT_0003789	
		cell line	http://www.ebi.ac.uk/efo/EFO_0000322	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
		Epigenome	http://ensembl.org/glossary/ENSGLOSSARY_0000356	A cell type, such as a primary tissue or lab cell line, for which we have epigenome evidence and can predict regulatory features.
		cultured cell	http://purl.obolibrary.org/obo/CL_0000010	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
MTBLS129	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
