studyID	type	iri
MTBLS94	size exclusion chromatography	
MTBLS94	Systems biology	http://edamontology.org/topic_2259
MTBLS95	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS95	Pseudomonas syringae pv. tomato str. DC3000	http://purl.obolibrary.org/obo/NCBITaxon_223283
MTBLS95	type III protein secretion system complex	http://purl.obolibrary.org/obo/GO_0030257
MTBLS95	MAPK phosphatase export from nucleus	http://purl.obolibrary.org/obo/GO_0045208
MTBLS95	untargeted metabolites	
MTBLS95	avrPto protein, Pseudomonas syringae	http://purl.bioontology.org/ontology/MSH/C081695
MTBLS96	pathogen host	http://purl.obolibrary.org/obo/IDO_0000538
MTBLS96	Opportunistic-Pathogen	http://www.projecthalo.com/aura#Opportunistic-Pathogen
MTBLS96	untargeted metabolites	
MTBLS96	Commensal species	http://www.owl-ontologies.com/unnamed.owl#Commensal_species
MTBLS96	Salmonella typhimurium	http://purl.bioontology.org/ontology/SNMI/L-17354
MTBLS96	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS98	malaria	http://www.ebi.ac.uk/efo/EFO_0001068
MTBLS98	parasite development	
MTBLS98	untargeted metabolites	
MTBLS98	Direct Infusion Mass Spectrometry	
MTBLS98	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS99	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS99	untargeted metabolites	
MTBLS100	Biofluid	
MTBLS100	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS100	untargeted metabolites	
MTBLS102	cell line	http://www.ebi.ac.uk/efo/EFO_0000322
MTBLS102	infection	http://www.ebi.ac.uk/efo/EFO_0000544
MTBLS102	Host-Pathogen Interactions	http://purl.bioontology.org/ontology/MESH/D054884
MTBLS102	Proteomics	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20085
MTBLS102	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS102	untargeted metabolites	
MTBLS103	untargeted metabolomics	
MTBLS103	targeted metabolites	
MTBLS103	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS103	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS103	predictive markers	
MTBLS103	Type 2 Diabetes Mellitus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26747
MTBLS104	untargeted metabolites	
MTBLS104	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621
MTBLS104	neuropeptide Y2 receptor	http://purl.bioontology.org/ontology/MESH/C095889
MTBLS104	cancer	http://www.ebi.ac.uk/efo/EFO_0000311
MTBLS104	brain tumor	http://purl.bioontology.org/ontology/PDQ/CDR0000038958
MTBLS104	BIIE 0246	http://purl.bioontology.org/ontology/MESH/C403256
MTBLS104	SK-N-BE2	
MTBLS104	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS105	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS105	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182
MTBLS105	cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422
MTBLS105	biomarker	http://purl.obolibrary.org/obo/CHEBI_59163
MTBLS105	targeted metabolites	
MTBLS105	untargeted metabolites	
MTBLS106	transcriptomics	
MTBLS106	metabolomics	
MTBLS106	unfolded protein response	
MTBLS106	chronic mistranslation	
MTBLS106	protein misfolding	
MTBLS106	high-performance liquid chromatography	
MTBLS106	targeted metabolomics	
MTBLS107	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS107	plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848
MTBLS107	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS107	Untargeted metabolites	
MTBLS107	Targeted metabolites	
MTBLS108	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS108	plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848
MTBLS108	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS108	Untargeted metabolites	
MTBLS108	Targeted metabolites	
MTBLS109	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS109	plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848
MTBLS109	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS109	Untargeted metabolites	
MTBLS109	Targeted metabolites	
MTBLS110	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS110	plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848
MTBLS110	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS110	Untargeted metabolites	
MTBLS110	targeted metabolites	
MTBLS111	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS111	plant hormone	http://purl.obolibrary.org/obo/CHEBI_37848
MTBLS111	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS111	Untargeted metabolites	
MTBLS111	Targeted metabolites	
MTBLS112	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS112	targeted metabolites	
MTBLS112	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS112	Host-Pathogen Interactions	http://purl.bioontology.org/ontology/MESH/D054884
MTBLS112	Vomitoxin	http://purl.obolibrary.org/obo/CHEBI_10022
MTBLS112	scab	http://purl.obolibrary.org/obo/CO_321_0000104
MTBLS112	phenylpropanoid	http://purl.obolibrary.org/obo/CHEBI_26004
MTBLS113	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS113	wax ester	http://purl.obolibrary.org/obo/CHEBI_10036
MTBLS113	untargeted metabolites	
MTBLS113	Hypoxia	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3890
MTBLS113	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS114	untargeted metabolites	
MTBLS114	Caloric Restriction	http://purl.bioontology.org/ontology/MESH/D031204
MTBLS114	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS114	Exogenous Obesity	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120380
MTBLS115	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS115	tRNA modification	http://purl.org/obo/owl/GO#GO_0006400
MTBLS115	mistranslation	
MTBLS115	untargeted metabolites	
MTBLS116	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS116	coral reef	http://purl.obolibrary.org/obo/ENVO_00000150
MTBLS116	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS116	species comparison design	http://purl.obolibrary.org/obo/OBI_0001310
MTBLS116	sample variability	
MTBLS116	spiking	http://purl.obolibrary.org/obo/CHMO_0002852
MTBLS116	untargeted metabolites	
MTBLS117	Plant metabolomics	
MTBLS117	Host-Pathogen Interactions	http://purl.bioontology.org/ontology/MESH/D054884
MTBLS117	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS117	Direct Infusion Mass Spectrometry	
MTBLS117	untargeted metabolites	
MTBLS118	Plant metabolomics	
MTBLS118	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS118	Host-Pathogen Interactions	http://purl.bioontology.org/ontology/MESH/D054884
MTBLS118	untargeted metabolites	
MTBLS119	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS119	Transcription Factors	http://purl.bioontology.org/ontology/MESH/D014157
MTBLS119	hydrophilic interaction chromatography	http://purl.obolibrary.org/obo/CHMO_0002262
MTBLS119	untargeted metabolites	
MTBLS120	Seed phytate content	http://purl.obolibrary.org/obo/SOY_0001692
MTBLS120	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS120	hydrophilic interaction chromatography	http://purl.obolibrary.org/obo/CHMO_0002262
MTBLS120	untargeted metabolites	
MTBLS123	Hemorrhagic Shock	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35017
MTBLS123	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS123	cell culture	http://purl.obolibrary.org/obo/BTO_0000214
MTBLS123	targeted metabolites	
MTBLS124	Cohort Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15208
MTBLS124	Population Based Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53307
MTBLS124	untargeted metabolites	
MTBLS124	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS125	untargeted metabolites	
MTBLS125	Resveratrol	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1215
MTBLS125	oral administration	http://purl.obolibrary.org/obo/OBI_0000952
MTBLS125	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS125	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS125	skin administration	
MTBLS126	untargeted metabolites	
MTBLS126	Resveratrol	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1215
MTBLS126	skin administration	
MTBLS126	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS126	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS127	untargeted metabolites	
MTBLS127	Resveratrol	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1215
MTBLS127	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS127	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS127	cell line	http://www.ebi.ac.uk/efo/EFO_0000322
MTBLS128	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS128	arginine	http://purl.obolibrary.org/obo/CHEBI_29016
MTBLS128	isotopic labelling	http://purl.obolibrary.org/obo/CHMO_0001677
MTBLS128	isotope ratio mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000506
MTBLS128	targeted metabolites	
MTBLS129	Transcriptomics	http://edamontology.org/topic_3308
MTBLS129	flavonoids	http://purl.obolibrary.org/obo/CHEBI_72544
MTBLS129	glycosylation	http://purl.obolibrary.org/obo/GO_0070085
MTBLS129	Secondary Metabolism	http://purl.bioontology.org/ontology/MESH/D064210
MTBLS129	jasmonic acid	http://purl.obolibrary.org/obo/CHEBI_18292
MTBLS129	response to stress	http://purl.obolibrary.org/obo/GO_0006950
MTBLS129	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS129	untargeted metabolites	
MTBLS131	targeted metabolites	
MTBLS131	COSY	
MTBLS131	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443
MTBLS132	targeted metabolites	
MTBLS132	COSY	
MTBLS132	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443
MTBLS133	targeted metabolites	
MTBLS133	COSY	
MTBLS133	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443
MTBLS134	targeted metabolites	
MTBLS134	COSY	
MTBLS134	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443
MTBLS135	Fat	
MTBLS135	targeted metabolomics	
MTBLS135	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS135	targeted metabolomics	
MTBLS136	Menopause	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3231
MTBLS136	Hormone	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2315
MTBLS136	estrogen	http://purl.obolibrary.org/obo/CHEBI_50114
MTBLS136	progestin	http://purl.obolibrary.org/obo/CHEBI_59826
MTBLS136	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS136	targeted metabolomics	
MTBLS136	untargeted metabolomics	
MTBLS137	untargeted metabolites	
MTBLS137	Training Dataset	
MTBLS137	software pipeline	http://purl.obolibrary.org/obo/OBI_0001943
MTBLS137	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS140	untargeted metabolites	
MTBLS140	Toxicity	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27990
MTBLS140	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS140	cell line	http://www.ebi.ac.uk/efo/EFO_0000322
MTBLS140	chloroacetaldehyde	http://purl.obolibrary.org/obo/CHEBI_27871
MTBLS142	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS142	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS142	Database	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15426
MTBLS142	Natural Product	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66892
MTBLS142	ms-ms search	http://purl.obolibrary.org/obo/MS_1001083
MTBLS142	monoterpene alkaloid	http://purl.obolibrary.org/obo/CHEBI_50522
MTBLS142	indole skeleton	http://purl.obolibrary.org/obo/CHEBI_73398
MTBLS143	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS143	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS143	Tobacco Smoke	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C829
MTBLS143	Cigarette Smoking	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18270
MTBLS143	Modified Risk Tobacco Product	http://scai.fraunhofer.de/CSEO#Modified_Risk_Tobacco_Product
MTBLS143	Mouse Model	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94604
MTBLS143	Chronic Obstructive Pulmonary Disease	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3199
MTBLS143	Shotgun lipidomics	
MTBLS143	targeted metabolites	
MTBLS143	untargeted metabolites	
MTBLS144	Phytoplankton	http://www.owl-ontologies.com/unnamed.owl#Phytoplankton
MTBLS144	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486
MTBLS144	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502
MTBLS144	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
MTBLS144	untargeted metabolites	
MTBLS145	exercise	http://www.ebi.ac.uk/efo/EFO_0000483
MTBLS145	circadian rhythm	http://www.ebi.ac.uk/efo/EFO_0004354
MTBLS145	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS145	targeted metabolomics	
MTBLS146	pregnancy	http://www.ebi.ac.uk/efo/EFO_0002950
MTBLS146	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS146	blood plasma	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS146	shotgun lipidomics	
MTBLS146	carnitine profiling	
MTBLS146	non-targeted metabolite profiling	
MTBLS146	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS146	flow injection analysis	http://purl.obolibrary.org/obo/MS_1000058
MTBLS147	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS147	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
MTBLS147	targeted metabolites	
MTBLS148	untargeted metabolites	
MTBLS148	urine	http://purl.obolibrary.org/obo/UBERON_0001088
MTBLS148	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS149	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS149	Cholestasis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83006
MTBLS149	thioacetamide	http://purl.obolibrary.org/obo/CHEBI_32497
MTBLS149	Bile duct ligation	
MTBLS149	orthogonal partial least squares discriminant analysis (OPLS-DA)	
MTBLS149	Huang Lian	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2626
MTBLS149	Huang-Lian-Jie-Du-Decoction (HLJDD)	
MTBLS149	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS149	untargeted metabolites	
MTBLS150	untargeted metabolites	
MTBLS150	Ovarian cancer	http://purl.obolibrary.org/obo/OMIM_167000
MTBLS150	Cancer Stem Cell	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68706
MTBLS150	cancer metabolism	
MTBLS150	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS150	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886
MTBLS151	untargeted metabolites	
MTBLS151	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS151	Chemometrics	
MTBLS151	Nilaparvata lugens	http://purl.bioontology.org/ontology/NCBITAXON/108931
MTBLS152	untargeted metabolites	
MTBLS152	Ovarian cancer	http://purl.obolibrary.org/obo/OMIM_167000
MTBLS152	Cancer Stem Cell	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68706
MTBLS152	cancer metabolism	
MTBLS152	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS152	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886
MTBLS154	Phytoplankton	http://www.owl-ontologies.com/unnamed.owl#Phytoplankton
MTBLS154	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486
MTBLS154	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502
MTBLS154	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
MTBLS154	targeted metabolites	
MTBLS154	untargeted metabolites	
MTBLS155	Phytoplankton	http://www.owl-ontologies.com/unnamed.owl#Phytoplankton
MTBLS155	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486
MTBLS155	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502
MTBLS155	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
MTBLS155	targeted metabolites	
MTBLS155	untargeted metabolites	
MTBLS156	untargeted metabolites	
MTBLS156	high-resolution magic angle spinning	http://purl.obolibrary.org/obo/CHMO_0000618
MTBLS156	hexacationic ruthenium metallaprism	
MTBLS156	cancer cells	
MTBLS156	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS157	Carbon Cycle	http://purl.bioontology.org/ontology/MESH/D057486
MTBLS157	Fourier transform ion cyclotron resonance mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000502
MTBLS157	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
MTBLS157	targeted metabolites	
MTBLS157	untargeted metabolites	
MTBLS158	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS158	targeted metabolomics	
MTBLS160	genotype	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000513
MTBLS160	hydroponic plant culture media	http://purl.obolibrary.org/obo/EO_0007067
MTBLS160	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS160	untargeted metabolites	
MTBLS160	targeted metabolites	
MTBLS161	Chronic Fatigue Syndrome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3037
MTBLS161	Glycolysis Pathway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39095
MTBLS161	Oxidative Stress	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17741
MTBLS161	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS161	untargeted metabolites	
MTBLS161	Energy metabolism	http://scai.fraunhofer.de/AlzheimerOntology#Energy_metabolism
MTBLS161	amino acid	http://purl.obolibrary.org/obo/CHEBI_33709
MTBLS162	Lipogenesis	http://purl.bioontology.org/ontology/MESH/D050155
MTBLS162	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400
MTBLS162	Direct Infusion Mass Spectrometry	
MTBLS162	Dyslipidaemia	http://purl.bioontology.org/ontology/MEDDRA/10058108
MTBLS162	targeted metabolites	
MTBLS163	liquid chromatography-tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000701
MTBLS163	endocannabinoid	http://purl.obolibrary.org/obo/CHEBI_67197
MTBLS163	lipoprotein	http://purl.obolibrary.org/obo/CHEBI_6495
MTBLS163	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS163	targeted metabolites	
MTBLS164	untargeted metabolites	
MTBLS164	Walking	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73554
MTBLS164	Diabetes Mellitus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2985
MTBLS164	acetic acid	http://purl.obolibrary.org/obo/CHEBI_15366
MTBLS164	proton transfer reaction mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000570
MTBLS164	acetone	http://purl.obolibrary.org/obo/CHEBI_15347
MTBLS165	untargeted metabolites	
MTBLS165	Lactation	http://purl.bioontology.org/ontology/SNOMEDCT/63158009
MTBLS165	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS166	hexabromocyclododecane	http://purl.bioontology.org/ontology/MESH/C089796
MTBLS166	untargeted metabolites	
MTBLS166	amino acid	http://purl.obolibrary.org/obo/CHEBI_33709
MTBLS166	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS168	untargeted metabolites	
MTBLS168	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS168	epistasis	http://purl.obolibrary.org/obo/MI_0797
MTBLS169	comparative phenotypic assessment	http://purl.obolibrary.org/obo/OBI_0001546
MTBLS169	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS169	time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000580
MTBLS170	Methicillin Resistant Staphylococcus aureus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123515
MTBLS170	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS170	metabolite profiling	http://purl.obolibrary.org/obo/OBI_0000366
MTBLS170	untargeted metabolites	
MTBLS171	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS171	trimethylsilyl derivatisation	http://purl.obolibrary.org/obo/CHMO_0002758
MTBLS171	urine	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS171	untargeted metabolites	
MTBLS172	untargeted metabolites	
MTBLS172	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS172	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842
MTBLS172	Anesthesia	http://purl.bioontology.org/ontology/MESH/D000758
MTBLS173	Respiratory capacity	
MTBLS173	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757
MTBLS173	aging	http://purl.obolibrary.org/obo/GO_0007568
MTBLS173	obesity	http://www.ebi.ac.uk/efo/EFO_0001073
MTBLS173	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS173	targeted metabolites	
MTBLS174	untargeted metabolites	
MTBLS174	Steatosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36185
MTBLS174	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195
MTBLS174	Human Study Subject	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70665
MTBLS174	Serum global profiling	
MTBLS174	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS175	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS175	multivariate statistics 	
MTBLS175	(-)-methyl jasmonate	http://purl.obolibrary.org/obo/CHEBI_15929
MTBLS175	Terpenoid Biosynthesis Pathway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38872
MTBLS175	untargeted metabolites	
MTBLS175	targeted metabolites	
MTBLS175	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS176	mass spectrometry	http://www.bioassayontology.org/bao#BAO_0000055
MTBLS176	desorption electrospray ionisation mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000484
MTBLS176	Matrix assisted laser desorption ionisation 	
MTBLS177	targeted metabolites	
MTBLS177	cancer	http://www.ebi.ac.uk/efo/EFO_0000311
MTBLS177	DNA Damage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16507
MTBLS177	EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_62913
MTBLS177	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS178	untargeted metabolites	
MTBLS178	Sasang constitutional medicine	http://www.ebi.ac.uk/efo/EFO_0004892
MTBLS178	Multivariate statistics	
MTBLS178	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS179	Airway	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89842
MTBLS179	Bacterial Infection	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2890
MTBLS179	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS179	targeted metabolomics	
MTBLS179	untargeted metabolomics	
MTBLS182	tracer-based metabolomics	
MTBLS182	breast cancer	http://purl.obolibrary.org/obo/DOID_1612
MTBLS182	isotopologue	
MTBLS182	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS183	tracer-based metabolomics	
MTBLS183	breast cancer	http://purl.obolibrary.org/obo/DOID_1612
MTBLS183	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203
MTBLS183	isotopologue	
MTBLS183	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS183	Fluxomics	http://www.mygrid.org.uk/ontology/JERMOntology#Fluxomics
MTBLS183	glutamine	http://purl.obolibrary.org/obo/CHEBI_28300
MTBLS183	oligomycin	http://purl.obolibrary.org/obo/CHEBI_25675
MTBLS184	tracer-based metabolomics	
MTBLS184	lung cancer	http://purl.obolibrary.org/obo/DOID_1324
MTBLS184	A549	http://www.ebi.ac.uk/efo/EFO_0001086
MTBLS184	isotopologue	
MTBLS184	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
