studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS126	Base	base	http://purl.bioontology.org/ontology/HL7/C1550601	
		base	http://purl.obolibrary.org/obo/CHEBI_22695	
		Base	http://purl.obolibrary.org/obo/NCIT_C48055	The most important or necessary part of something.
		Base	http://purl.obolibrary.org/obo/NCIT_C48056	A substance that dissociates to give hydroxide ions in aqueous solutions; a substance capable of donating a pair of electrons (to an acid) for the formation of a coordinate covalent bond; a substance whose molecule or ion can combine with a proton (hydrogen ion); a substance that combines with acids to form salts.
		Base	http://purl.obolibrary.org/obo/NCIT_C92955	The underlying or supportive part of an anatomic structure.
MTBLS126	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS127	Cell line	cell line	http://www.ebi.ac.uk/efo/EFO_0000322	
		cell line	http://purl.obolibrary.org/obo/CLO_0000031	A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture). 
		Cell Line	http://purl.obolibrary.org/obo/NCIT_C16403	A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.
MTBLS129	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS135	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS135	Age	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		age	http://purl.obolibrary.org/obo/PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		Age	http://purl.obolibrary.org/obo/NCIT_C25150	How long something has existed; elapsed time since birth.
		age	http://www.ebi.ac.uk/efo/EFO_0000246	A temporal measurement of the time period elapsed since an identifiable point in the life cycle of an organism. If a developmental stage is specified, the identifiable point would be the beginning of that stage. Otherwise the identifiable point must be specified such as planting (e.g. 3 days post planting).
MTBLS136	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS136	Secondary identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	
		Secondary Identifier	http://purl.obolibrary.org/obo/NCIT_C101703	
MTBLS137	Variety	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	
		Variety	http://purl.obolibrary.org/obo/NCIT_C62709	In botanical nomenclature, a rank below subspecies but above forma.
MTBLS137	Country	Country	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25464	
		Country	http://purl.obolibrary.org/obo/NCIT_C25464	A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.
		country	http://purl.obolibrary.org/obo/HANCESTRO_0003	A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.
MTBLS140	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS144	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS146	Batch number	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS146	Weight	body weight	http://www.ebi.ac.uk/efo/EFO_0004338	
		Weight	http://purl.obolibrary.org/obo/NCIT_C25208	The vertical force exerted by a mass as a result of gravity.
MTBLS146	Height	body height	http://www.ebi.ac.uk/efo/EFO_0004339	
		Height	http://purl.obolibrary.org/obo/NCIT_C25347	The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.
MTBLS148	Experiment	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
MTBLS148	Polarity	scan polarity	http://purl.obolibrary.org/obo/MS_1000465	
		Polarity	http://purl.obolibrary.org/obo/NCIT_C48048	The positive or negative direction of an electrical, acoustical, or magnetic force.
MTBLS149	cholestasis	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		cholestasis	http://purl.obolibrary.org/obo/DOID_13580	
		Cholestasis	http://purl.obolibrary.org/obo/NCIT_C83006	Impairment of the bile flow caused by obstruction within the liver, or outside the liver in the bile duct system.
MTBLS154	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS154	inorganic phosphate	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		inorganic phosphate	http://purl.obolibrary.org/obo/CHEBI_24838	Any  phosphate that contains no carbon atom.
MTBLS155	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS157	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS158	Group	Group	http://purl.bioontology.org/ontology/STY/T096	
		Group	http://purl.obolibrary.org/obo/NCIT_C43359	Any number of entities (members) considered as a unit.
		group	http://purl.obolibrary.org/obo/CHEBI_24433	A defined linked collection of atoms or a single atom within a molecular entity.
MTBLS158	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS160	Genotype	genotype	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000513	
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
MTBLS160	Replicate	replicate	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS161	Chronic Fatigue Syndrome	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		chronic fatigue syndrome	http://purl.obolibrary.org/obo/DOID_8544	A syndrome that involves prolonged and severe tiredness or weariness that is unrelated to exertion, is not relieved by rest and for a minimum of six months and is not directly caused by other conditions.
		Chronic Fatigue Syndrome	http://purl.obolibrary.org/obo/NCIT_C3037	A syndrome of unknown etiology. Chronic fatigue syndrome (CFS) is a clinical diagnosis characterized by an unexplained persistent or relapsing chronic fatigue that is of at least six months' duration, is not the result of ongoing exertion, is not substantially alleviated by rest, and results in substantial reduction of previous levels of occupational, educational, social, or personal activities. Common concurrent symptoms of at least six months duration include impairment of memory or concentration, diffuse pain, sore throat, tender lymph nodes, headaches of a new type, pattern, or severity, and nonrestorative sleep. The etiology of CFS may be viral or immunologic. Neurasthenia and fibromyalgia may represent related disorders. Also known as myalgic encephalomyelitis.
		chronic fatigue syndrome	http://www.ebi.ac.uk/efo/EFO_0004540	A syndrome characterized by persistent or recurrent fatigue, diffuse musculoskeletal pain, sleep disturbances, and subjective cognitive impairment of 6 months duration or longer. Symptoms are not caused by ongoing exertion; are not relieved by rest; and result in a substantial reduction of previous levels of occupational, educational, social, or personal activities. Minor alterations of immune, neuroendocrine, and autonomic function may be associated with this syndrome. There is also considerable overlap between this condition and FIBROMYALGIA. (From Semin Neurol 1998;18(2):237-42; Ann Intern Med 1994 Dec 15;121(12): 953-9)
MTBLS162	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS163	Replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS164	Exercise	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Exercise	http://purl.obolibrary.org/obo/NCIT_C16567	Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.
		exercise	http://www.ebi.ac.uk/efo/EFO_0000483	Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.
MTBLS164	Day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301	
		day	http://purl.obolibrary.org/obo/UO_0000033	A time unit which is equal to 24 hours.
		Day	http://purl.obolibrary.org/obo/NCIT_C25301	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
MTBLS168	Deletion	Deletion		
		Deletion	http://purl.obolibrary.org/obo/NCIT_C61330	Elimination, especially by blotting out, cutting out, or erasing.
		deletion	http://www.ebi.ac.uk/efo/EFO_0004014	
MTBLS174	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS176	Colorectal Adenocarcinoma	Colorectal adenocarcinoma	http://purl.bioontology.org/ontology/MEDDRA/10052360	
		Colorectal Adenocarcinoma	http://purl.obolibrary.org/obo/NCIT_C5105	The most common type of colorectal carcinoma.  It is characterized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.
		colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
MTBLS176	Mouse kidney	Mouse Kidney	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22730	
		Mouse Kidney	http://purl.obolibrary.org/obo/NCIT_C22730	
MTBLS176	Mouse pancreas	Mouse Pancreas	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24044	
		Mouse Pancreas	http://purl.obolibrary.org/obo/NCIT_C24044	
MTBLS177	compound	Cancer Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16212	
		Compound	http://purl.obolibrary.org/obo/NCIT_C43366	A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.
MTBLS178	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS179	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS179	Sedation	Sedation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21097	
		Sedation	http://purl.obolibrary.org/obo/NCIT_C21097	The process of allaying nervous excitement or the state of being calmed. (Taber's)
MTBLS183	Oligomycin	Qualitative Concept	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92722	
		oligomycin	http://purl.obolibrary.org/obo/CHEBI_25675	Any of the 26-membered ring macrolides produced by Streptomyces species that can be toxic to other organisms through their ability to inhibit mitochondrial membrane-bound ATP synthases.
MTBLS183	Glutamine	Qualitative Concept	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92722	
		Glutamine	http://purl.obolibrary.org/obo/NCIT_C522	A nonessential amino acid. Glutamine can donate the ammonia on its side chain to the formation of urea (for eventual excretion by the kidneys) and to purines (necessary for the synthesis of nucleic acids). Glutamic acid-to-glutamine conversion, in which an ammonia group is added to glutamic acid (catalyzed by glutamine synthase), is of central importance in the regulation of toxic levels of ammonia in the body. This agent is a substrate for the production of both excitatory and inhibitory neurotransmitters (glutamate and GABA) and is also an important source of energy for the nervous system. Glutamine may become a conditionally essential amino acid during certain catabolic states.
		glutamine	http://purl.obolibrary.org/obo/CHEBI_28300	An alpha-amino acid that consists of butyric acid bearing an amino substituent at position 2 and a carbamoyl substituent at position 4.
MTBLS189	area	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	
		area	http://purl.obolibrary.org/obo/PATO_0001323	A 2-D extent quality inhering in a bearer by virtue of the bearer's two dimensional extent.
		Area	http://purl.obolibrary.org/obo/NCIT_C25244	The extent of a 2-dimensional surface enclosed within a boundary.
		area	http://www.ebi.ac.uk/efo/EFO_0001696	An area is a size quality which describes the two dimensional extent of a material entity.
MTBLS191	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS193	Time	Phase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25257	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS193	Origin	Location	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25341	
		Origin	http://purl.obolibrary.org/obo/NCIT_C42703	The place where something begins or comes from in either the sense of a physical location or a metaphysical source.
MTBLS193	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS196	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS196	Virus	Virus	http://purl.obolibrary.org/obo/NCBITaxon_10239	
		virus	http://www.bioassayontology.org/bao#BAO_0000232	Viruses are small infectious agents that depend on the host cells to reproduce. Outside the host, they contain a protein coat called capsid that encloses their genetic material (either DNA or RNA). Viruses can infect bacteria, plants and animals and cause a number of diseases, e.g. smallpox, chickenpox, influenza, polio, rabies, etc.
		Virus	http://purl.obolibrary.org/obo/NCIT_C14283	An infectious agent which consists of two parts, genetic material and a protein coat. These organisms lack independent metabolism, and they must infect the cells of other types of organisms to reproduce. Most viruses are capable of passing through fine filters that retain bacteria, and are not visible through a light microscope.
		Virus	http://purl.obolibrary.org/obo/NCBITaxon_10239	Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.
MTBLS198	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS198	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS200	Outcome	Disease Outcome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18226	
		Outcome	http://purl.obolibrary.org/obo/NCIT_C20200	The result of an action.
MTBLS200	Staging	Staging	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15608	
		Staging	http://purl.obolibrary.org/obo/NCIT_C15608	The process of defining at what point in the natural history of a malignant disease a patient is when a diagnosis is made.
MTBLS209	tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS209	species	species design	http://www.ebi.ac.uk/efo/EFO_0001753	
		Species	http://purl.obolibrary.org/obo/NCIT_C45293	A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
MTBLS212	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS212	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS213	D-glucose	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		D-glucose	http://purl.obolibrary.org/obo/CHEBI_17634	A glucose with D-configuration.
MTBLS213	Label	Isotope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47933	
		label	http://www.w3.org/2000/01/rdf-schema#label	
		label	http://purl.obolibrary.org/obo/CHEBI_35209	
		Label	http://purl.obolibrary.org/obo/NCIT_C45561	A brief description given for purposes of identification; an identifying or descriptive marker that is attached to an object.
		label	http://purl.obolibrary.org/obo/IAO_0000009	A label is a symbol that is part of some other datum and is used to either partially define the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label.
MTBLS214	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS218	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
MTBLS218	Visit	Patient Visit	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39564	
		Visit	http://purl.obolibrary.org/obo/NCIT_C25716	The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.
MTBLS219	Sex	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS225	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS225	Dose	Unit of Dose Calculation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66973	
		dose	http://purl.obolibrary.org/obo/OBI_0000984	A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.
		Dose	http://purl.obolibrary.org/obo/NCIT_C25488	A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.
		dose	http://www.ebi.ac.uk/efo/EFO_0000428	The total quantity or strength of a substance administered at one time.
MTBLS226	compound	Compound	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43366	
		Compound	http://purl.obolibrary.org/obo/NCIT_C43366	A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.
MTBLS227	Stage	disease stage	http://purl.obolibrary.org/obo/OBI_0000278	
		Stage	http://purl.obolibrary.org/obo/NCIT_C48308	Any distinct time period in a sequence of events.
		Stage	http://purl.obolibrary.org/obo/NCIT_C16899	
MTBLS233	Dose	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		dose	http://purl.obolibrary.org/obo/OBI_0000984	A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.
		Dose	http://purl.obolibrary.org/obo/NCIT_C25488	A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.
		dose	http://www.ebi.ac.uk/efo/EFO_0000428	The total quantity or strength of a substance administered at one time.
MTBLS234	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	A role played by a a biological sample in the context of an experiment where the intent is that biological or technical variation is measured.
MTBLS237	Diagnosis	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		diagnosis	http://purl.obolibrary.org/obo/OGMS_0000073	The representation of a conclusion of a diagnostic process.
		Diagnosis	http://purl.obolibrary.org/obo/NCIT_C15220	The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.
MTBLS237	age at diagnosis	age	http://www.ebi.ac.uk/efo/EFO_0000246	
		Age at Diagnosis	http://purl.obolibrary.org/obo/NCIT_C156420	The age of an individual at the time of initial pathologic diagnosis.
		age at diagnosis	http://www.ebi.ac.uk/efo/EFO_0004918	The age, measured from some defined time point e.g. birth at which a subject (e.g. a human patient) is diagnosed with some disease e.g. breast cancer.
MTBLS237	Smoker	Boolean	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45254	
		Smoker	http://purl.obolibrary.org/obo/NCIT_C68751	A person who inhales or has inhaled combustible products of organic material during their lifetime.
MTBLS243	Control	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	
		Control	http://purl.obolibrary.org/obo/NCIT_C61299	The act of directing or determining; regulation or maintenance of a function or action; a relation of constraint of one entity (thing or person or group) by another.
		control	http://www.ebi.ac.uk/efo/EFO_0001461	The act of directing or determining; regulation or maintenance of a function or action; a relation of constraint of one entity (thing or person or group) by another.
MTBLS244	tracer	Boolean	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45254	
		tracer	http://purl.obolibrary.org/obo/CHEBI_35204	
		Tracer	http://purl.obolibrary.org/obo/NCIT_C2480	A substance that is identifiable by virtue of its radioactive signature, color, or other distinguishing physical property, such as a dye, radioactive isotope, or inert chemical, that is introduced into a biological or mechanical system and can be followed through the course of a process, providing information on the pattern of events in the process or on the redistribution of the parts, elements, or events involved.
MTBLS247	Substrate	Substrate	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120264	
		substrate	http://www.bioassayontology.org/bao#BAO_0003063	The role of a molecular entity to serve as the input for an enzymatic reaction that generates a product, e.g. ATP has the role of a substrate for ATPase, which hydrolyzes it to produce ADP and Pi.
		Substrate	http://purl.obolibrary.org/obo/NCIT_C120264	Any chemical that can be modified or consumed during a chemical reaction or biological process.
		substrate	http://www.ebi.ac.uk/efo/EFO_0005061	A substrate is the surface on which material, such as an organism, is grown or attached.
MTBLS247	Labeling	labelling	http://www.ebi.ac.uk/efo/EFO_0000562	
		Labeling	http://purl.obolibrary.org/obo/NCIT_C54694	All written, printed, or graphic matter accompanying an article at any time while such article is in interstate commerce or held for sale after shipment or delivery in interstate commerce.
MTBLS249	Smoking Status	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		Smoking Status	http://purl.obolibrary.org/obo/NCIT_C19796	An indication of a person's current tobacco and nicotine consumption as well as some indication of smoking history.
MTBLS249	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS253	control	True False Response Terminology	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105761	
		Control	http://purl.obolibrary.org/obo/NCIT_C61299	The act of directing or determining; regulation or maintenance of a function or action; a relation of constraint of one entity (thing or person or group) by another.
		control	http://www.ebi.ac.uk/efo/EFO_0001461	The act of directing or determining; regulation or maintenance of a function or action; a relation of constraint of one entity (thing or person or group) by another.
