studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS146	Weight	body weight	http://www.ebi.ac.uk/efo/EFO_0004338	
		weight	http://purl.org/obo/owl/PATO#PATO_0000128	A physical quality inhering in a bearer that has mass near a gravitational body.
		weight	http://purl.obolibrary.org/obo/PATO_0000128	
		Weight	http://purl.obolibrary.org/obo/NCIT_C25208	The vertical force exerted by a mass as a result of gravity.
MTBLS146	Height	body height	http://www.ebi.ac.uk/efo/EFO_0004339	
		height	http://purl.obolibrary.org/obo/PATO_0000119	
		height	http://semanticscience.org/resource/SIO_000040	height is the one dimensional extent along the vertical projection of a 3D object from a base plane of reference.
		Height	http://purl.obolibrary.org/obo/NCIT_C25347	The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.
MTBLS148	Experiment	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
MTBLS148	Preservative	Boolean	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45254	
		preservative	http://purl.obolibrary.org/obo/FOODON_03400317	Substance added to a product to prevent growth of contaminating microorganisms and subsequent spoilage of the product.
MTBLS148	Polarity	scan polarity	http://purl.obolibrary.org/obo/MS_1000465	
		polarity	http://purl.obolibrary.org/obo/PATO_0002186	A molecular quality that inheres in a molecular entity by virtue of whether or not the molecular entity has a separation of electric charge which leads to the molecule having an electric dipole.
		polarity	http://semanticscience.org/resource/CHEMINF_000069	Polarity is a quality that inheres in a molecular entity by virtue of whether or not the molecular entity has a separation of electric charge which leads to the molecule having an electric dipole.
		Polarity	http://purl.obolibrary.org/obo/NCIT_C48048	The positive or negative direction of an electrical, acoustical, or magnetic force.
MTBLS149	cholestasis	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Cholestasis	http://purl.obolibrary.org/obo/OMIT_0004099	
		cholestasis	http://purl.obolibrary.org/obo/DOID_13580	
		cholestasis	http://purl.obolibrary.org/obo/MONDO_0001751	
		Cholestasis	http://purl.obolibrary.org/obo/NCIT_C83006	Impairment of the bile flow caused by obstruction within the liver, or outside the liver in the bile duct system.
		Cholestasis	http://purl.obolibrary.org/obo/HP_0001396	Impairment of bile flow due to obstruction in bile ducts.
		cholestasis	http://purl.obolibrary.org/obo/MP_0000610	impairment of bile flow due to obstruction in small bile ducts (intrahepatic cholestasis) or obstruction in large bile ducts (extrahepatic cholestasis)
MTBLS154	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS154	inorganic phosphate	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	
		inorganic phosphate	http://purl.obolibrary.org/obo/CHEBI_24838	Any  phosphate that contains no carbon atom.
MTBLS155	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS156	drug treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		drug treatment	http://purl.obolibrary.org/obo/PDRO_0000012	Un traitement composé d'une ou plusieurs administrations de doses.
MTBLS157	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS157	carbon source	substrate	http://www.bioassayontology.org/bao#BAO_0003063	
		carbon source	http://purl.obolibrary.org/obo/MCO_0000864	
MTBLS158	Group	Group	http://purl.bioontology.org/ontology/STY/T096	
		group	http://purl.obolibrary.org/obo/CHEBI_24433	A defined linked collection of atoms or a single atom within a molecular entity.
		group	http://purl.obolibrary.org/obo/sep_00077	A group is a defnined collection of objects, e.g. a flock of sheep, a herd of goats, or the local Boy Scout troop.
		Group	http://purl.obolibrary.org/obo/GAZ_00378987	A river.
		Group	http://purl.obolibrary.org/obo/NCIT_C43359	Any number of entities (members) considered as a unit.
MTBLS158	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS160	Genotype	genotype	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000513	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS160	Replicate	replicate	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000683	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS161	Chronic Fatigue Syndrome	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		chronic fatigue syndrome	http://purl.obolibrary.org/obo/SYMP_0000687	Chronic fatigue syndrome is a fatigue characterized by a disorder of uncertain cause that is characterized by persistent profound fatigue usually accompanied by impairment in short-term memory or concentration, sore throat, tender lymph nodes, muscle or joint pain, and headache unrelated to any preexisting medical condition and that typically has an onset at about 30 years of age.
		chronic fatigue syndrome	http://purl.obolibrary.org/obo/DOID_8544	A syndrome that involves prolonged and severe tiredness or weariness that is unrelated to exertion, is not relieved by rest and for a minimum of six months and is not directly caused by other conditions.
		Chronic Fatigue Syndrome	http://purl.obolibrary.org/obo/NCIT_C3037	A syndrome of unknown etiology. Chronic fatigue syndrome (CFS) is a clinical diagnosis characterized by an unexplained persistent or relapsing chronic fatigue that is of at least six months' duration, is not the result of ongoing exertion, is not substantially alleviated by rest, and results in substantial reduction of previous levels of occupational, educational, social, or personal activities. Common concurrent symptoms of at least six months duration include impairment of memory or concentration, diffuse pain, sore throat, tender lymph nodes, headaches of a new type, pattern, or severity, and nonrestorative sleep. The etiology of CFS may be viral or immunologic. Neurasthenia and fibromyalgia may represent related disorders. Also known as myalgic encephalomyelitis.
		chronic fatigue syndrome	http://www.ebi.ac.uk/efo/EFO_0004540	A syndrome characterized by persistent or recurrent fatigue, diffuse musculoskeletal pain, sleep disturbances, and subjective cognitive impairment of 6 months duration or longer. Symptoms are not caused by ongoing exertion; are not relieved by rest; and result in a substantial reduction of previous levels of occupational, educational, social, or personal activities. Minor alterations of immune, neuroendocrine, and autonomic function may be associated with this syndrome. There is also considerable overlap between this condition and FIBROMYALGIA. (From Semin Neurol 1998;18(2):237-42; Ann Intern Med 1994 Dec 15;121(12): 953-9)
MTBLS162	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS163	Replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS164	Exercise	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Exercise	http://scdontology.h3abionet.org/ontology/SCDO_0001305	Physical activity which is usually regular and done with the intention of improving or maintaining physical fitness or health.
		Exercise	http://purl.obolibrary.org/obo/OMIT_0016200	
		Exercise	http://purl.obolibrary.org/obo/NCIT_C16567	Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.
		exercise	http://www.ebi.ac.uk/efo/EFO_0000483	Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.
MTBLS164	Day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301	
		day	http://purl.obolibrary.org/obo/UO_0000033	
		day	http://www.cropontology.org/rdf/CO_338:0000114	
		day	http://www.cropontology.org/rdf/CO_338:0000116	
		day	http://www.cropontology.org/rdf/CO_338:0000194	
		day	http://www.cropontology.org/rdf/CO_338:0000158	
		day	http://www.cropontology.org/rdf/CO_338:0000146	
		day	http://www.cropontology.org/rdf/CO_337:0000071	
		day	http://semanticscience.org/resource/SIO_000430	A day is a period of 24 hours.
		Day	http://purl.obolibrary.org/obo/NCIT_C25301	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
		day	http://www.cropontology.org/rdf/CO_321:0000434	
MTBLS168	OD600	optical density measurement	http://purl.obolibrary.org/obo/CHMO_0002039	
		OD600	http://purl.obolibrary.org/obo/MCO_0000059	an optical density that specifies the amount of light of 600 nm of wavelenght the bearer is able to transmit
MTBLS168	Deletion	Deletion		
		deletion	http://purl.obolibrary.org/obo/SO_0000159	The point at which one or more contiguous nucleotides were excised.
		Deletion	http://purl.obolibrary.org/obo/NCIT_C61330	Elimination, especially by blotting out, cutting out, or erasing.
		Deletion	http://ensembl.org/glossary/ENSGLOSSARY_0000100	Deletion of one or more nucleotides
		deletion	http://www.ebi.ac.uk/efo/EFO_0004014	
MTBLS171	Derivatisation	protocol	http://purl.obolibrary.org/obo/OBI_0000272	
		derivatisation	http://purl.obolibrary.org/obo/CHMO_0001485	The transformation of a chemical compound (the 'educt') into another similar compound (the 'derivative') by altering one or more of its functional groups. Derivatisation is generally perfomed to alter reactivity or change a physical property such as solubility, boiling point, melting point, thermal stability etc. 
MTBLS174	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS176	Colorectal Adenocarcinoma	Colorectal adenocarcinoma	http://purl.bioontology.org/ontology/MEDDRA/10052360	
		colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
		colorectal adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005008	
		Colorectal Adenocarcinoma	http://purl.obolibrary.org/obo/NCIT_C5105	The most common type of colorectal carcinoma.  It is characterized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.
		colorectal adenocarcinoma	http://purl.obolibrary.org/obo/DOID_0050861	A colorectal cancer that derives_from epithelial cells of glandular origin.
MTBLS176	Mouse kidney	Mouse Kidney	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22730	
		Mouse Kidney	http://purl.obolibrary.org/obo/NCIT_C22730	
MTBLS176	Mouse pancreas	Mouse Pancreas	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24044	
		Mouse Pancreas	http://purl.obolibrary.org/obo/NCIT_C24044	
MTBLS177	compound	Cancer Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16212	
		Compound	http://purl.obolibrary.org/obo/CDAO_0000055	
		Compound	http://purl.obolibrary.org/obo/NCIT_C43366	A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.
MTBLS178	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS179	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS179	Sedation	Sedation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21097	
		Sedation	http://purl.obolibrary.org/obo/NCIT_C21097	The process of allaying nervous excitement or the state of being calmed. (Taber's)
MTBLS183	Oligomycin	Qualitative Concept	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92722	
		oligomycin	http://purl.obolibrary.org/obo/CHEBI_25675	Any of the 26-membered ring macrolides produced by Streptomyces species that can be toxic to other organisms through their ability to inhibit mitochondrial membrane-bound ATP synthases.
MTBLS183	Glutamine	Qualitative Concept	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92722	
		Glutamine	http://purl.obolibrary.org/obo/SIBO_0000204	Profile of ant-derived compounds in silica gel nesting material.
		glutamine	http://purl.obolibrary.org/obo/CHEBI_28300	An alpha-amino acid that consists of butyric acid bearing an amino substituent at position 2 and a carbamoyl substituent at position 4.
		Glutamine	http://purl.obolibrary.org/obo/OMIT_0007162	
		Glutamine	http://purl.obolibrary.org/obo/NCIT_C522	A nonessential amino acid. Glutamine can donate the ammonia on its side chain to the formation of urea (for eventual excretion by the kidneys) and to purines (necessary for the synthesis of nucleic acids). Glutamic acid-to-glutamine conversion, in which an ammonia group is added to glutamic acid (catalyzed by glutamine synthase), is of central importance in the regulation of toxic levels of ammonia in the body. This agent is a substrate for the production of both excitatory and inhibitory neurotransmitters (glutamate and GABA) and is also an important source of energy for the nervous system. Glutamine may become a conditionally essential amino acid during certain catabolic states.
		glutamine	http://purl.obolibrary.org/obo/SO_0001448	
		Glutamine	http://purl.obolibrary.org/obo/FMA_82752	
MTBLS185	Glucocorticoids	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Glucocorticoids	http://purl.obolibrary.org/obo/OMIT_0007130	
MTBLS189	area	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	
		area	http://purl.obolibrary.org/obo/PATO_0001323	A 2-D extent quality inhering in a bearer by virtue of the bearer's two dimensional extent.
		area	http://semanticscience.org/resource/SIO_000045	area is a quantity that pertains to the extent of a two-dimensional surface or shape, or planar lamina, in the plane.
		area	http://purl.obolibrary.org/obo/HAO_0000146	The anatomical structure of the cuticle that is delimited by material or immaterial anatomical entities.
		area	http://purl.enanomapper.org/onto/ENM_8000059	
		Area	http://purl.obolibrary.org/obo/NCIT_C25244	The extent of a 2-dimensional surface enclosed within a boundary.
		area	http://www.ebi.ac.uk/efo/EFO_0001696	An area is a size quality which describes the two dimensional extent of a material entity.
		area	http://biomodels.net/SBO/SBO_0000467	The area of an object is a quantity expressing its two-dimensional size, usually part or all of its surface. 
MTBLS189	drug intervention	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		drug intervention	http://purl.obolibrary.org/obo/ERO_0000600	A therapeutic intervention involving the administration of drugs, biologicals, chemicals, and antibiotics.
MTBLS191	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS193	Time	Phase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25257	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS193	Origin	Location	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25341	
		origin	http://purl.obolibrary.org/obo/GENEPIO_0001844	
		Origin	http://purl.obolibrary.org/obo/NCIT_C42703	The place where something begins or comes from in either the sense of a physical location or a metaphysical source.
MTBLS193	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS196	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/WBbt_0005729	Association of cells with a common embryological origin or pathway and similar structure and function. Usually, cells of a tissue are contiguous at cell membranes and may be of one or more types. Tissues aggregate to form organs.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS196	Virus	Virus	http://purl.obolibrary.org/obo/NCBITaxon_10239	
		virus	http://purl.obolibrary.org/obo/NCRO_0000091	Small infectious agent that replicates only inside the living cells of other organisms
		Virus	http://purl.obolibrary.org/obo/NCBITaxon_10239	An infectious agent which consists of two parts, genetic material and a protein coat. These organisms lack independent metabolism, and they must infect the cells of other types of organisms to reproduce. Most viruses are capable of passing through fine filters that retain bacteria, and are not visible through a light microscope.
		virus	http://semanticscience.org/resource/SIO_010379	A virus is a non-cellular organism that can replicate only inside the living cells of an organism.
		Virus	http://scdontology.h3abionet.org/ontology/SCDO_0001234	Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.
		virus	http://www.bioassayontology.org/bao#BAO_0000232	Viruses are small infectious agents that depend on the host cells to reproduce. Outside the host, they contain a protein coat called capsid that encloses their genetic material (either DNA or RNA). Viruses can infect bacteria, plants and animals and cause a number of diseases, e.g. smallpox, chickenpox, influenza, polio, rabies, etc.
		Virus	http://purl.obolibrary.org/obo/NCIT_C14283	An infectious agent which consists of two parts, genetic material and a protein coat. These organisms lack independent metabolism, and they must infect the cells of other types of organisms to reproduce. Most viruses are capable of passing through fine filters that retain bacteria, and are not visible through a light microscope.
MTBLS198	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS198	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS200	Outcome	Disease Outcome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18226	
		Outcome	http://purl.obolibrary.org/obo/NCIT_C20200	The result of an action.
MTBLS200	Staging	Staging	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15608	
		Staging	http://purl.obolibrary.org/obo/NCIT_C15608	The process of defining at what point in the natural history of a malignant disease a patient is when a diagnosis is made.
MTBLS209	tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/WBbt_0005729	Association of cells with a common embryological origin or pathway and similar structure and function. Usually, cells of a tissue are contiguous at cell membranes and may be of one or more types. Tissues aggregate to form organs.
