name,abbr,class_num,pro_num,modified date,url,description
Diagnosis Ontology of Clinical Care Classification ,DOCCC,204,,10/4/13,https://bioportal.bioontology.org/ontologies/DOCCC,Diagnosis Ontology of Clinical Care Classification (CCC)
Human Disease Ontology ,DOID,12694,7,3/2/18,https://bioportal.bioontology.org/ontologies/DOID,Creating a comprehensive hierarchical controlled vocabulary for human disease representation.
The Drug Ontology ,DRON,434663,,9/15/16,https://bioportal.bioontology.org/ontologies/DRON,An ontology of drugs
Data Science Education Ontology ,DSEO,122,,4/9/18,https://bioportal.bioontology.org/ontologies/DSEO,Simple ISA hierarchical taxonomy denoting subfields of study in data science for use in educational applications
Drug Target Ontology ,DTO,10075,2,2/16/18,https://bioportal.bioontology.org/ontologies/DTO,Drug Target Ontology (DTO) is being developed at the University of Miami in the research group of Stephan Schürer
The Data Use Ontology ,DUO,249,,10/17/17,https://bioportal.bioontology.org/ontologies/DUO,An ontology based on the consent codes decsription from the Dyke et al
EmpowerBP ,EBP,50,,2/21/18,https://bioportal.bioontology.org/ontologies/EBP,"Clinical practice guidelines, behaviour change theories, and associated behaviour change strategies for the management of hypertension."
Electrocardiography Ontology ,ECG,1124,5,9/12/14,https://bioportal.bioontology.org/ontologies/ECG,The Electrocardiography (ECG) Ontology is a Driving Biological Project of the NCBO
Evidence and Conclusion Ontology ,ECO,2123,4,5/24/18,https://bioportal.bioontology.org/ontologies/ECO,An ontology of evidence types for supporting conclusions in scientific research
Electronic Care Plan ,ECP,32,,10/13/15,https://bioportal.bioontology.org/ontologies/ECP,Our focus in this work is to define in a formal way (ontology-based) and platform independent representative metadata and relationships of care plans
The Ecosystem Ontology ,ECSO,2682,,7/14/17,https://bioportal.bioontology.org/ontologies/ECSO,DataONE ontology of Carbon Flux measurements for MsTMIP and LTER Use Cases
"EDAM bioinformatics operations, types of data, data formats, identifiers, and topics ",EDAM,3328,7,12/15/17,https://bioportal.bioontology.org/ontologies/EDAM,"EDAM is a comprehensive ontology of well-established, familiar concepts that are prevalent within bioinformatics and computational biology, including types of data and data identifiers, data formats, operations and topics"
EDAM Bioimaging Ontology ,EDAM-BIOIMAGING,228,1,1/15/18,https://bioportal.bioontology.org/ontologies/EDAM-BIOIMAGING,"Bioimage informatics operations, types of data, data formats, and bioimaging topicsEDAM-bioimaging is an extension to the EDAM ontology (edamontology.org) for bioimage analysis, bioimage informatics, and bioimaging, developed in collaboration with partners from NEUBIAS Cost Action CA15124 (neubias.org) and EuroBioImaging PP2."
EDDA Study Designs Taxonomy ,EDDA,502,1,7/16/16,https://bioportal.bioontology.org/ontologies/EDDA,"The EDDA Study Designs Taxonomy (v2.0) was developed by the Evidence in Documents, Discovery, and Analytics (EDDA) Group: Tanja Bekhuis (Principal Scientist); Eugene Tseytlin (Systems Developer); Ashleigh Faith (Taxonomist); Faina Linkov (Epidemiologist)"
EDDA Publication Types Taxonomy ,EDDA_PT,93,,7/18/16,https://bioportal.bioontology.org/ontologies/EDDA_PT,"The EDDA Publication Types Taxonomy (v1.0) was developed by Tanja Bekhuis (Principal Scientist) and Eugene Tseytlin (Systems Developer) of the Evidence in Documents, Discovery, and Analytics (EDDA) Group"
Experimental Factor Ontology ,EFO,21766,5,5/16/18,https://bioportal.bioontology.org/ontologies/EFO,The Experimental Factor Ontology (EFO) is an application focused ontology modelling the experimental variables in multiple resources at the EBI and Open Targets
Epigenome Ontology ,EGO,2952,,7/4/16,https://bioportal.bioontology.org/ontologies/EGO,The Epigenome Ontology (EGO) a biomedical ontology for integrative epigenome knowledge representation and data analysis.
"Human Developmental Anatomy Ontology, timed version ",EHDA,8340,,11/23/17,https://bioportal.bioontology.org/ontologies/EHDA,A structured controlled vocabulary of stage-specific anatomical structures of the human
"Human Developmental Anatomy Ontology, abstract version 1 ",EHDAA,2314,1,11/23/17,https://bioportal.bioontology.org/ontologies/EHDAA,A structured controlled vocabulary of stage-specific anatomical structures of the human
"Human Developmental Anatomy Ontology, abstract version 2 ",EHDAA2,2772,2,8/21/15,https://bioportal.bioontology.org/ontologies/EHDAA2,A structured controlled vocabulary of stage-specific anatomical structures of the human
Eligibility Feature Hierarchy ,ELIG,29,,5/7/13,https://bioportal.bioontology.org/ontologies/ELIG,"We derived a set of 1,437 eligibility features that were organized into a feature hierarchy using 80 breast cancer trials"
Mouse Gross Anatomy and Development Ontology ,EMAP,19444,2,2/11/16,https://bioportal.bioontology.org/ontologies/EMAP,A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).
"Mouse gross anatomy and development, timed ",EMAPA,6807,,6/1/18,https://bioportal.bioontology.org/ontologies/EMAPA,Abstract (i.e
Enzyme Mechanism Ontology ,EMO,160,2,9/23/15,https://bioportal.bioontology.org/ontologies/EMO,This ontology describes the components of an enzyme and its reaction mechanism including the roles that the components play in the reaction mechanism.
eNanoMapper ,ENM,11059,1,10/11/17,https://bioportal.bioontology.org/ontologies/ENM,The eNanoMapper ontology covers the full scope of terminology needed to support research into nanomaterial safety
ISO-15926-2_2003_entityMembership ,ENTITY,81,,1/7/16,https://bioportal.bioontology.org/ontologies/ENTITY,Entity Membership
ISO-15926-2_2003_entityMembershipCandidates ,ENTITYCANDIDATES,45,,1/7/16,https://bioportal.bioontology.org/ontologies/ENTITYCANDIDATES,ISO entity candidates for oil and gas
Environment Ontology ,ENVO,8511,9,5/19/18,https://bioportal.bioontology.org/ontologies/ENVO,"Official PURL: http://purl.obolibrary.org/obo/envo.owlThe most up-to-date information about ENVO is available here: http://www.obofoundry.org/ontology/envo.htmlEnvO is an OBO Foundry and Library ontology for the concise, controlled description of environmental entities such as ecosystems, environmental processes, and environmental qualities"
Ethnicity Ontoloy ,EO,768,,10/12/15,https://bioportal.bioontology.org/ontologies/EO,The Ethnicity Ontology (EO) has been developed by extending the Basic Formal Ontology 2 standard in order to have a common reference for ethnicity concepts for semantic integration of datasets
Environment Ontology for Livestock ,EOL,648,,10/22/14,https://bioportal.bioontology.org/ontologies/EOL,L'ontologie EOL décrit les conditions d'environnement des élevages d'animaux domestiques
Cardiac Electrophysiology Ontology ,EP,232,2,4/28/09,https://bioportal.bioontology.org/ontologies/EP,"The Cardiac Electrophysiology Ontology contains terms describing single-channel electrophysiological experiments and data obtained using voltage-clamp, current clamp and fluorescence imaging techniques applied at the cell level and multi-channel fluorescence imaging techniques applied at the cell, tissue and whole heart levels."
Epilepsy Ontology ,EPILONT,138,1,7/18/11,https://bioportal.bioontology.org/ontologies/EPILONT,Ontology about the epilepsy domain and epileptic seizures
Early Pregnancy Ontology ,EPO,1388,,6/3/16,https://bioportal.bioontology.org/ontologies/EPO,"The early pregnancy ontology contains the concepts to describe ectopic pregnancy ultrasound images, organized into several subsumption hierarchies for types of ectopic pregnancies and the signs, anatomical structures and technical elements of imaging associated with ectopic pregnancy"
Epilepsy and Seizure Ontology ,EPSO,1357,,9/1/17,https://bioportal.bioontology.org/ontologies/EPSO,The Epilepsy and Seizure Ontology (EpSO) is an application ontology developed to support epilepsy focused informatics tools for patient care and clinical research
Eagle-I Research Resource Ontology ,ERO,4061,2,1/15/16,https://bioportal.bioontology.org/ontologies/ERO,This ontology models research resources such instruments
Enzyme Structure Function Ontology ,ESFO,22,,10/24/16,https://bioportal.bioontology.org/ontologies/ESFO,"The ESFO provides a new paradigm for organizing enzyme sequence, structure, and function information, whereby specific elements of enzyme sequence and structure are mapped to specific conserved aspects of function, thus facilitating the functional annotation of uncharacterized enzymes"
Epilepsy Syndrome Seizure Ontology ,ESSO,2705,,11/10/15,https://bioportal.bioontology.org/ontologies/ESSO,"This ontology contains epilepsy syndromes, seizure types, and data elements associated with them."
EuPath Ontology ,EUPATH,1234,,5/11/18,https://bioportal.bioontology.org/ontologies/EUPATH,The EuPathDB ontology is an application ontology developed to encode our understanding of what data is about in the public resources developed and maintained by the Eukaryotic Pathogen Database Bioinformatics Resource Center (EuPathDB; http://eupathdb.org)
An ontology for experimental actions ,EXACT,162,,9/18/14,https://bioportal.bioontology.org/ontologies/EXACT,"EXACT aims to explicitly define the semantics of experimental protocols in order to ensure their reproducibility, and to support computer applications that assist biologists in the preparation, maintenance, submission and sharing of experimental protocols"
Exposure Ontology ,EXO,148,,4/11/17,https://bioportal.bioontology.org/ontologies/EXO,"Significant progress has been made over the last several years in collecting and improving access to genomic, toxicology, and health data to promote understanding about environmental influences on human health"
Experimental Ontology ,EXON,5,,11/30/17,https://bioportal.bioontology.org/ontologies/EXON,Experiment focused in the compatibility with proteg'e software to create and upload ontologies on Bioportal
Codificacion De Enfermedades Pediatricas ,En Edición,1,,3/22/18,https://bioportal.bioontology.org/ontologies/CEI_10,En edicion por el Hospital de pediatria Garrahan
Feature Annotation Location Description Ontology  ,FALDO,19,,11/3/17,https://bioportal.bioontology.org/ontologies/FALDO,FALDO is the Feature Annotation Location Description Ontology
MyOntoServiceFull_FallDetection ,FALL,51,,3/19/15,https://bioportal.bioontology.org/ontologies/FALL,fall detection scenario
Fungal Gross Anatomy Ontology ,FAO,91,,11/22/17,https://bioportal.bioontology.org/ontologies/FAO,A structured controlled vocabulary for the anatomy of fungi.
Drosophila Gross Anatomy Ontology ,FB-BT,10546,3,2/22/18,https://bioportal.bioontology.org/ontologies/FB-BT,A structured controlled vocabulary of the anatomy of Drosophila melanogaster.
FlyBase Controlled Vocabulary ,FB-CV,521,1,7/6/17,https://bioportal.bioontology.org/ontologies/FB-CV,"A structured controlled vocabulary used for various aspects of annotation by FlyBase.This ontology is maintained by FlyBase for various aspects of annotation not covered, or not yet covered, by other OBO ontologies"
Drosophila Development Ontology ,FB-DV,274,2,10/15/16,https://bioportal.bioontology.org/ontologies/FB-DV,A structured controlled vocabulary of the development of Drosophila melanogaster.
Fly Taxonomy ,FB-SP,6600,2,6/21/13,https://bioportal.bioontology.org/ontologies/FB-SP,The taxonomy of the family Drosophilidae (largely after Baechli) and of other taxa referred to in FlyBase.
Biological Imaging Methods Ontology ,FBbi,625,1,6/1/18,https://bioportal.bioontology.org/ontologies/FBbi,"A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research."
OWL_XML_Tool5 ,FDSAJFAHSJK,3,,8/3/16,https://bioportal.bioontology.org/ontologies/FDSAJFAHSJK,dasf
Family Health History Ontology ,FHHO,238,,5/10/09,https://bioportal.bioontology.org/ontologies/FHHO,The FHHO facilitates representing the family health histories of persons related by biological and/or social family relationships (e.g
Fire Ontology ,FIRE,53,,2/25/14,https://bioportal.bioontology.org/ontologies/FIRE,"The ontology of Fire was created in order to represent the set of concepts about the fire occurring in natural vegetation, its characteristics, causes and effects, with focus on Cerrado vegetation domain"
FISH Archaeological Sciences Thesaurus ,FISH-AST,125,,9/11/17,https://bioportal.bioontology.org/ontologies/FISH-AST,"Terminology used for recording the techniques, recovery methods and materials associated with archaeological sciences"
Fish Ontology ,FISHO,386,,8/28/17,https://bioportal.bioontology.org/ontologies/FISHO,"This Fish Ontology is an ontology created as how the author views the fish structure following the book ""The Diversity of Fishes: Biology, Evolution and Ecology"" as the main reference, which covers one part of view on ichthyology, with an emphasis on diversity and adaptation"
Physico-Chemical Methods and Properties ,FIX,1163,,2/11/14,https://bioportal.bioontology.org/ontologies/FIX,"FIX consists of two ontologies: methods and properties (but not objects, which are subject of the chemical ontology)"
Flora Phenotype Ontology ,FLOPO,26873,,3/7/16,https://bioportal.bioontology.org/ontologies/FLOPO,The Flora Phenotype Ontology is an ontology of phenotypes reported in Floras
Influenza Ontology ,FLU,566,1,8/21/15,https://bioportal.bioontology.org/ontologies/FLU,"Starting in the fall of 2007, a collaborative group of influenza researchers have established an influenza ontology"
FlyGlycoDB ,FLYGLYCODB,114,,12/22/16,https://bioportal.bioontology.org/ontologies/FLYGLYCODB,Ontology to describe glycogenes of Drosophila
Foundational Model of Anatomy ,FMA,104523,17,4/2/18,https://bioportal.bioontology.org/ontologies/FMA,FMA is a domain ontology that represents a coherent body of explicit declarative knowledge about human anatomy
Food Matrix for Predictive Microbiology ,FMPM,157,,6/4/18,https://bioportal.bioontology.org/ontologies/FMPM,Food matrix ontology for predictive microbiology.
Fern Ontology ,FO,32,1,3/16/15,https://bioportal.bioontology.org/ontologies/FO,Fern Ontology (FO) is a controlled and structured vocabulary of fern specific anatomy and lifecycle
FamPlex ,FPLX,448,,3/27/18,https://bioportal.bioontology.org/ontologies/FPLX,FamPlex is a collection of resources for grounding biological entities from text and describing their hierarchical relationships.
Functional Therapeutic Chemical Classification System ,FTC,61426,,2/15/16,https://bioportal.bioontology.org/ontologies/FTC,The Functional Therapeutic Chemical Classification System (FTC) defines over 20'000 mechanisms and modes of action for approuved drugs
Fission Yeast Phenotype Ontology ,FYPO,11102,,6/9/18,https://bioportal.bioontology.org/ontologies/FYPO,"FYPO is being developed to support the comprehensive and detailed representation of phenotypes in PomBase, the new online fission yeast resource (www.pombase.org)"
FAST ,Faceted Access of Subject Terminology,681,,5/8/18,https://bioportal.bioontology.org/ontologies/FAST-CHRONO,"FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)"
FAST ,Faceted Access of Subject Terminology,3462,,5/8/18,https://bioportal.bioontology.org/ontologies/FAST-GENREFORM,"FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)."
FAST ,Faceted Application of Subject Terminology,583314,,9/6/17,https://bioportal.bioontology.org/ontologies/FAST-TOPICAL,"AST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)"
FAST ,Faceted Application of Subject Terminology,3287,,9/6/17,https://bioportal.bioontology.org/ontologies/FAST-FORMGENRE,"FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)"
FAST ,Faceted Application of Subject Terminology,15696,,8/30/17,https://bioportal.bioontology.org/ontologies/FAST-EVENT-SKOS,This is a test of submitting FAST-EVENT with Format dropdown set to SKOS (instead of OWL)
FAST ,Faceted Application of Subject Terminology,65800,,9/6/17,https://bioportal.bioontology.org/ontologies/FAST-TITLE,"FAST (Faceted Application of Subject Terminology) is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)"
FAST ,Faceted Application of Subject Terminology,4,,8/29/17,https://bioportal.bioontology.org/ontologies/FAST-EVENT,"FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH)"
Galen Ontology ,GALEN,23141,,1/16/07,https://bioportal.bioontology.org/ontologies/GALEN,A translation of the full Galen ontology (from the OpenGALEN project) into the OWL description logic.
Radiology Gamuts Ontology ,GAMUTS,16933,,11/21/17,https://bioportal.bioontology.org/ontologies/GAMUTS,"In radiology, a ""gamut"" is the set of conditions that can cause a specified imaging finding"
Gazetteer ,GAZ,668838,5,2/24/15,https://bioportal.bioontology.org/ontologies/GAZ,Gazetteer
Glioblastoma ,GBM,109,,8/27/15,https://bioportal.bioontology.org/ontologies/GBM,Ontology of Glioblastoma
GBOL ,GBOL,271,,11/28/17,https://bioportal.bioontology.org/ontologies/GBOL,Genome Biology Ontology Language (GBOL)
Genome Component Ontology ,GCO,5,,5/23/13,https://bioportal.bioontology.org/ontologies/GCO,"The Genome Component Ontology is intended to define the abstract division of the total genetic information of an organism by its physical separation into different components, thereby providing a high level reference point to which more specific descriptions of the characteristics of these components can be linked."
Data Collection Ontology ,GDCO,73,,8/9/17,https://bioportal.bioontology.org/ontologies/GDCO,"The Data Collection Ontology (DCO) is an ontology designed for data collection providing classes and relations on top of the Basic Formal Ontology (BFO) to facilitate data collection processes, subjects, and data anaylsis through the use of classifiers"
Genomic Clinical Decision Support Ontology ,GENE-CDS,2265,,11/21/12,https://bioportal.bioontology.org/ontologies/GENE-CDS,"The Genomic CDS ontology aims to unify several functionalities in a single resource, being:* A knowledge base for clinical pharmacogenomics/pharmacogenetics that can be used for question-answering (e.g"
GenEpiO ,GENEPIO,15629,,5/14/18,https://bioportal.bioontology.org/ontologies/GENEPIO,"The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks."
Genotype Ontology ,GENO,362,,6/7/18,https://bioportal.bioontology.org/ontologies/GENO,"An integrated ontology for representing the genetic variations described in genotypes, and their causal relationships to phenotype and diseases."
Geographical Entity Ontology ,GEO,100,,2/23/18,https://bioportal.bioontology.org/ontologies/GEO,An ontology of geographical entities implemented in Web Ontology Language 2 (OWL2) and based on Basic Formal Ontology (BFO).
GeoSPARQL ,GEOSPARQL,78,,12/9/17,https://bioportal.bioontology.org/ontologies/GEOSPARQL,The OGC GeoSPARQL standard supports representing and querying geospatial data on the Semantic Web
GeoSpecies Ontology ,GEOSPECIES,86,,12/13/17,https://bioportal.bioontology.org/ontologies/GEOSPECIES,"This ontology was designed to help integrate species concepts with species occurrences, gene sequences, images, references and geographical information"
Gene Expression Ontology ,GEXO,166254,,12/16/15,https://bioportal.bioontology.org/ontologies/GEXO,An application ontology for the domain of gene expression
General Formal Ontology ,GFO,45,,3/2/10,https://bioportal.bioontology.org/ontologies/GFO,The General Formal Ontology (GFO) is a top-level ontology integrating objects and processes.
General Formal Ontology for Biology ,GFO-BIO,168,,3/2/10,https://bioportal.bioontology.org/ontologies/GFO-BIO,GFO-Bio is a biological core ontology built on the General Formal Ontology.
Genomic Feature and Variation Ontology ,GFVO,102,2,10/15/16,https://bioportal.bioontology.org/ontologies/GFVO,The Genomic Feature and Variation Ontology (GFVO) is modeled to represent genomic data using the Resource Description Format (RDF) or Linked Data using JSON (JSON-LD)
Glycomics Ontology ,GLYCO,230,1,10/29/12,https://bioportal.bioontology.org/ontologies/GLYCO,The GlycO ontology provides an up-to-date knowledge base of experimentally verified glycan structures
GlycoRDF ,GLYCORDF,130,1,5/2/18,https://bioportal.bioontology.org/ontologies/GLYCORDF,"GlycoRDF is a standard representation for storing Glycomcis data (glycan structures, publication information, biological source information, experimental data) in RDF."
Ontology for Geography Markup Language ,GML3.0,175,,8/6/17,https://bioportal.bioontology.org/ontologies/GML,"The Geography Markup Language (GML) is an RDF encoding for the transport and storage of geographic information, including both the geometry and properties of geographic features"
GoMapMan ,GMM,1896,,5/17/16,https://bioportal.bioontology.org/ontologies/GMM,GoMapMan is an open web-accessible resource for gene functional annotations in the plant sciences
Growth Medium Onotology ,GMO,1039,,4/8/15,https://bioportal.bioontology.org/ontologies/GMO,A structured controlled vocabulary for describing ingredients that constitute microbial growth media used in biological research centers.
Gene Ontology ,GO,49290,61,1/20/18,https://bioportal.bioontology.org/ontologies/GO,null
Gene Ontology Extension ,GO-EXT,35873,1,6/24/11,https://bioportal.bioontology.org/ontologies/GO-EXT,Gene Ontology Extension
go-plus ,GO-PLUS,62978,,4/22/18,https://bioportal.bioontology.org/ontologies/GO-PLUS,null
Graphical Pathway Markup Language ,GPML,19,,1/6/18,https://bioportal.bioontology.org/ontologies/GPML,GPML is the file format used to store pathway content at WikiPathways
Gene Regulation Ontology ,GRO,507,2,1/6/16,https://bioportal.bioontology.org/ontologies/GRO,The Gene Regulation Ontology (GRO) is a conceptual model for the domain of gene regulation
Cereal Plant Development Ontology ,GRO-CPD,238,2,8/24/07,https://bioportal.bioontology.org/ontologies/GRO-CPD,A structured controlled vocabulary for describing cereal plant development and growth stages
Cereal Plant Gross Anatomy Ontology ,GRO-CPGA,1548,2,10/19/16,https://bioportal.bioontology.org/ontologies/GRO-CPGA,A structured controlled vocabulary for the anatomy of Gramineae
Halocynthia aurantium Anatomy and Development Ontology ,HAAURAADO,856,1,8/4/16,https://bioportal.bioontology.org/ontologies/HAAURAADO,The first ontology describing the anatomy and the development of Halocynthia aurantium
Hymenoptera Anatomy Ontology ,HAO,2533,,4/27/18,https://bioportal.bioontology.org/ontologies/HAO,"A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, sawflies and ants)"
Halocynthia roretzi Anatomy and Development Ontology ,HAROREADO,856,1,8/4/16,https://bioportal.bioontology.org/ontologies/HAROREADO,The first ontology describing the anatomy and the development of Halocynthia roretzi
HGeneCodonOntology ,HCODONONT,98,,9/2/16,https://bioportal.bioontology.org/ontologies/HCODONONT,"This ontology contains the information of the frequency of usage and the relative frequency of usage of Human Gene Codons, to be used to the operations by The Project Of HIV Ontology."
Healthcare Common Procedure Coding System ,HCPCS,6103,1,4/6/18,https://bioportal.bioontology.org/ontologies/HCPCS,Healthcare Common Procedure Coding System
Regional Healthcare System Interoperability and Information Exchange Measurement Ontology ,HEIO,125,,4/17/15,https://bioportal.bioontology.org/ontologies/HEIO,The purpose of this ontology is to develop a model for regional healthcare system interoperability and information exchange quantification (measured by the electronic health information exchange (eHIE) indicator)
Heart Failure Ontology ,HFO,1652,,12/8/15,https://bioportal.bioontology.org/ontologies/HFO,"Heart failure ontology is an attempt to define heart-failure-relevant information including the causes and risk factors, signs and symptoms, diagnostic tests and results, and treatment"
HUGO Gene Nomenclature ,HGNC,32918,,2/21/18,https://bioportal.bioontology.org/ontologies/HGNC,Human Genome Organisation (HUGO) Gene Nomenclature Committee at the European Bioinformatics Institute approves a gene name and symbol (short-form abbreviation) for each known human gene
Human Interaction Network Ontology ,HINO,37630,,6/27/14,https://bioportal.bioontology.org/ontologies/HINO,The Human Interaction Network Ontology (HINO) is an INO extension for the domain of human interaction networks
HIV ontology ,HIV,5904,,4/5/17,https://bioportal.bioontology.org/ontologies/HIV,The HIV ontology encompasses all knowledge about HIV
HIVCompoundRels ,HIVCRS,8,,4/14/17,https://bioportal.bioontology.org/ontologies/HIVCRS,The Ontology to express the ternary relations of HIV1
HIVOntologymain.owl ,HIVO004,1295,,8/31/16,https://bioportal.bioontology.org/ontologies/HIVO004,"A Project Of Biomedical Ontology for Systems BiomedicineThe Project includes so far a main ontology (HIVOnt0**.owl) which is imported by two sub ontologies AIDSClinic0**.owl and HumanGeneCodon0**.owl"
"Health Level Seven Reference Implementation Model, Version 3 ",HL7,9866,1,4/6/18,https://bioportal.bioontology.org/ontologies/HL7,"This version is the first update to Normative RIM, Release 3"
Histological Ontology ,HO,213,1,10/6/17,https://bioportal.bioontology.org/ontologies/HO,A Histological Ontology of the Human Cardiovascular System v
Ontology of Homology and Related Concepts in Biology ,HOM,66,1,8/21/15,https://bioportal.bioontology.org/ontologies/HOM,"This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology."
Holistic Ontology of Rare Diseases ,HORD,29654,1,2/8/18,https://bioportal.bioontology.org/ontologies/HORD,This ontology describes the bio-psico-social state of a person of rare diseses in a holistic way
Human Phenotype Ontology ,HP,16983,12,3/9/18,https://bioportal.bioontology.org/ontologies/HP,The Human Phenotype Ontology is being developed to provide a structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease
Host Pathogen Interactions Ontology ,HPIO,275,,2/8/11,https://bioportal.bioontology.org/ontologies/HPIO,Ontology for host pathogen interactions in farmed animals
Disease core ontology applied to Rare Diseases ,HRDO,13539,3,2/7/14,https://bioportal.bioontology.org/ontologies/HRDO,"This resource was designed during a PhD in medical informatics (funded by INSERM, 2010-2012)"
Human Developmental Stages Ontology ,HSAPDV,245,,6/1/18,https://bioportal.bioontology.org/ontologies/HSAPDV,Life cycle stages for Human
Human Genome Organization Gene Symbols ,HUGO,32918,2,12/21/10,https://bioportal.bioontology.org/ontologies/HUGO,Human Genome Organisation (HUGO) Gene Nomenclature Committee at the European Bioinformatics Institute approves a gene name and symbol (short-form abbreviation) for each known human gene
Human Physiology Simulation Ontology ,HUPSON,2920,,4/8/14,https://bioportal.bioontology.org/ontologies/HUPSON,"Large biomedical simulation initiatives, such as the Virtual Physiological Human (VPH), are substantially dependent on controlled vocabularies to facilitate the exchange of information, of data and of models"
IAML Medium of Performance Vocabulary ,IAML-MOP,420,,3/20/18,https://bioportal.bioontology.org/ontologies/IAML-MOP,"Instruments and/or voices, devices and other performers which make up a musical work."
Information Artifact Ontology ,IAO,220,13,3/27/17,https://bioportal.bioontology.org/ontologies/IAO,"The Information Artifact Ontology (IAO) is an  ontology of information entities, originally driven by work by the OBI consortium"
"International Classification of Diseases, Version 10 ",ICD10,12445,9,4/6/18,https://bioportal.bioontology.org/ontologies/ICD10,International Statistical Classification of Diseases and Related Health Problems (ICD-10)
"International Classification of Diseases, Version 10 - Clinical Modification ",ICD10CM,94276,3,4/6/18,https://bioportal.bioontology.org/ontologies/ICD10CM,"International Classification of Diseases, 10th Edition, Clinical Modification, 2011_01"
"International Classification of Diseases, Version 10 - Procedure Coding System ",ICD10PCS,183988,1,4/6/18,https://bioportal.bioontology.org/ontologies/ICD10PCS,"ICD-10-PCS, 2009"
Body System Terms from ICD11 ,ICD11-BODYSYSTEM,30,,4/15/10,https://bioportal.bioontology.org/ontologies/ICD11-BODYSYSTEM,This is a set of body-system terms used in the ICD 11 revision
"International Classification of Diseases, Version 9 - Clinical Modification ",ICD9CM,22533,5,4/6/18,https://bioportal.bioontology.org/ontologies/ICD9CM,"The ICD is the international standard diagnostic classification for all general epidemiological, many health management purposes and clinical use."
International Classification of  External Causes of Injuries ,ICECI,2232,,5/7/10,https://bioportal.bioontology.org/ontologies/ICECI,The International Classification of External Causes of Injury (ICECI) is a system of classifications to enable systematic description of how injuries occur
"International Classification of Functioning, Disability and Health ",ICF,1596,2,5/9/12,https://bioportal.bioontology.org/ontologies/ICF,"The International Classification of Functioning, Disability and Health, known more commonly as ICF, is a classification of health and health-related domains"
International Classification for Nursing Practice ,ICNP,4326,,3/1/18,https://bioportal.bioontology.org/ontologies/ICNP,International Classification for Nursing Practice
Informed Consent Ontology ,ICO,530,1,3/2/18,https://bioportal.bioontology.org/ontologies/ICO,null
International Classification of Primary Care ,ICPC,874,,4/6/18,https://bioportal.bioontology.org/ontologies/ICPC,The International Classification of Primary Care (ICPC)
International Classification of Primary Care - 2 PLUS ,ICPC2P,7537,,4/6/18,https://bioportal.bioontology.org/ontologies/ICPC2P,ICPC-2 PLUS
International Classification for Patient Safety ,ICPS,398,,2/6/12,https://bioportal.bioontology.org/ontologies/ICPS,Ontology network about Patient Safety Incident
International Classification of Wellness ,ICW,121,,2/14/17,https://bioportal.bioontology.org/ontologies/ICW,The International Classification of Wellness (ICW) is Wellness taxonomy
Infectious Disease Ontology ,IDO,519,5,11/4/17,https://bioportal.bioontology.org/ontologies/IDO,The IDO ontologies are designed as a set of interoperable ontologies that will together provide coverage of the infectious disease domain
Brucellosis Ontology ,IDOBRU,3214,,3/29/15,https://bioportal.bioontology.org/ontologies/IDOBRU,"Brucellosis Ontology is a biomedical ontology in the domain of zoonotic disease brucellosis that is caused by Brucella, a facultative intracellular baterium."
Dengue Fever Ontology ,IDODEN,5019,1,2/17/14,https://bioportal.bioontology.org/ontologies/IDODEN,An ontology for dengue fever.
Malaria Ontology ,IDOMAL,3158,1,9/5/17,https://bioportal.bioontology.org/ontologies/IDOMAL,An application ontology for malaria extending the infectious disease ontology (IDO)
Image and Data Quality Assessment Ontology ,IDQA,260,2,12/5/13,https://bioportal.bioontology.org/ontologies/IDQA,Image and Data Quality Assessment for scientific data management
Fanconi Anemia Ontology ,IFAR,4530,1,2/18/14,https://bioportal.bioontology.org/ontologies/IFAR,An application ontology devoted to the standardized recording of data related to Fanconi Anemia (FA)
Immunogenetics Ontology ,IMGT-ONTOLOGY,1415,,7/17/13,https://bioportal.bioontology.org/ontologies/IMGT-ONTOLOGY,IMGT-ONTOLOGY is the first ontology for immunogenetics and immunoinformatics
Interaction Network Ontology ,INO,320,1,5/6/18,https://bioportal.bioontology.org/ontologies/INO,The Interaction Network Ontology (INO) is an ontology in the domain of interactions and interaction networks
insectH ,INSECTH,116,,4/18/18,https://bioportal.bioontology.org/ontologies/INSECTH,NeuroMorpho.Org insect brain regions ontology is compiled to create data annotation standard for depositing insect data
