Study Submission Date,MTBLS ID,Study Type,Species,Study Publication Date,Status,Submitter Name,WND,Assigned to,Isatab completeness,Metabolites Added,Additional files,Paper,PMID/DOI,Data in repository,Last Updated Date,Google Drive folder Name,Validation,Author feedback,COSMOS / PhenoMeNal partner study?,Blue?,Light Purple 3?,Current Status,Additional Notes,Size (MB),Accumalated size,Month since Jan 2012,Average size of studies:,31545,1270
2014-06-12,MTBLS92,UPLC-QTOF-MS,Homo sapiens,2014-06-17,Public,Mika Hilvo,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-07-26,MTBLS92 - 20160725_LEG,Passes,,,1,,Full,CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.  Lipid study.,"10,500.89","5,874,906",30,,,
2014-06-14,MTBLS93,UPLC-QTOF-MS/MS,Homo sapiens,2014-08-30,Public,Andrea Ganna,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-07-26,MTBLS93 - 20160726_LEG,Passes,,,1,,Full,CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.  Lipid study. Ken 20141113: Andrea is wanting some changes but will have to back to us later.  Change title to match the paper,"695,658.35","6,570,564",30,,,
2018-05-24,MTBLS94,,,2019-05-24,Submitted,Michal Gorka,,,,,,,,,2018-05-24,,,,,,,,,"60,178.44","6,630,743",77,,,
2014-06-24,MTBLS95,GC-Q-MS,Arabidopsis thaliana,2014-06-24,Public,Tom Metz,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-07-27,MTBLS95 - 20160726_LEG,Passes,,,1,,Full,CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.,508.59,"6,631,251",30,,,
2014-06-24,MTBLS96,GC-Q-MS,Mus musculus,2014-06-24,Public,Tom Metz,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-07-28,MTBLS96 - 20160726_LEG,Passes,,,1,,Full,CHEBI IDs need to be assigned to some metabolites.  Organism part should be faeces.,596.73,"6,631,848",30,,,
2014-07-01,MTBLS97,GC-TOF-MS;UPLC-TOF-MS,Homo sapiens,2016-01-01,Submitted,Elon Correa,MFR,Keeva,Done,No,,DOI,,Metadata Only,2016-07-28,MTBLS97 - 20160728_LEG,,,Y,,,Pending,Some Protocols missing.  Supplementary file containing metabolite information added to folder. In contact with W.Dunn@bham.ac.uk (16 May 2017) - will pull together the raw data files - expect sept 2017,9.55,"6,631,858",31,,,
2014-07-04,MTBLS98,DI-LTQ-MS,Homo sapiens;Homo sapiens;Plasmodium falciparum,2016-09-14,Public,Simon Brown,,Xuefei,Done,Yes - No data,,Pubmed link,,Full,2017-10-30,MTBLS98 - 20160914_LEG,,,,1,,Full,"No MAF, 6 raw file.  Raw Spectral Data File column in the assay sheet is only partially filled.",41.50,"6,631,899",31,,,
2015-01-19,MTBLS99,UPLC-QTOF-MS,Malus domestica,2015-06-05,Public,Ron Wehrens,,Xuefei,Done,No,,,,Full,2016-07-28,MTBLS99 - 20160728_LEG,Passes,,,1,,Full,Live,"8,019.07","6,639,918",37,,,
2014-07-16,MTBLS100,NMR,Homo sapiens,2015-09-01,Public,Zerihun Dame,,Keeva,Done,Yes - Full,,DOI,,Full,2017-05-02,MTBLS100 - 20170421_LEG,Passes,Awaiting,,,,Pending,,4.35,"6,639,923",31,,,
2014-07-16,MTBLS101,NMR,Homo sapiens,2017-02-01,Submitted,Rupa Mandal,,Keeva,Done,Yes - Full,,Pubmed link,,Full,2017-04-19,MTBLS101 - 20160804_LEG,Passes,Awaiting,,,,Pending, Need information about study factor: gender.,13.93,"6,639,937",31,,,
2014-07-21,MTBLS102,NMR,Homo sapiens;Staphylococcus aureus,2015-07-01,Public,Kristin Surmann,,Xuefei,Done,Yes - Full,,Pubmed link,,Full,2016-08-05,MTBLS102 - 20160805_LEG,Passes,,,1,,Full,Live,18.63,"6,639,955",31,,,
2014-08-01,MTBLS103,NMR;UPLC-QTOF-MS,Homo sapiens,2015-04-09,Public,Sara Samino,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-08-25,MTBLS103 - 20160823_LEG,Passes,,,1,,Full,Assign CHEBI IDs.  Add na to any of the blank PubMED fields.  missing special characters ,"4,847.94","6,644,803",32,,,
2014-09-30,MTBLS104,NMR,Homo sapiens,2014-10-01,Public,Bo Wang,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-09-07,MTBLS104 - 20160826_LEG,Passes,,,1,,Full,Assign CHEBI IDs to a few metabolites.,19.32,"6,644,822",33,,,
2014-08-13,MTBLS105,GC-Q-MS;GC-TOF-MS,Homo sapiens,2015-08-13,Public,Habtom Ressom,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-09-07,MTBLS105 - 20160830_LEG,Passes,,,1,,Full,Add instrument data etc.,"6,909.65","6,651,732",32,,,
2018-05-24,MTBLS106,,,2019-05-24,Submitted,"User Cochrane, Youjin Teo",,,,,,,,,2018-07-02,,,,,,,,Re-using: Metabolon study,"5,721.20","6,657,453",77,,,
2014-08-22,MTBLS107,UPLC-LTQ-MS,Solanum lycopersicum,2014-08-31,Public,Lieven van Meulebroek,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-12,MTBLS107 - 20160909_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0728-9. Add ontology terms. Supplementary .docx file in folder may contain metabolites to be assigned.  Probably more metabolite info in the published paper.,"1,680.27","6,659,134",32,,,
2014-08-22,MTBLS108,UPLC-LTQ-MS,Solanum lycopersicum,2014-08-31,Public,Lieven van Meulebroek,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-12,MTBLS108 - 20160909_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0728-9. Add ontology terms. Supplementary .docx file in folder may contain metabolites to be assigned.  Probably more metabolite info in the published paper.,"1,721.86","6,660,855",32,,,
2014-08-22,MTBLS109,UPLC-LTQ-MS,Solanum lycopersicum,2014-08-31,Public,Lieven van Meulebroek,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-12,MTBLS109 - 20160909_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0728-9. Add ontology terms. Supplementary .docx file in folder may contain metabolites to be assigned.  Probably more metabolite info in the published paper.,"1,706.39","6,662,562",32,,,
2014-08-22,MTBLS110,UPLC-LTQ-MS,Solanum lycopersicum,2014-08-31,Public,Lieven van Meulebroek,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-12,MTBLS110 - 20160909_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0728-9. Add ontology terms. Supplementary .docx file in folder may contain metabolites to be assigned.  Probably more metabolite info in the published paper.,"1,686.98","6,664,249",32,,,
2014-08-22,MTBLS111,UPLC-LTQ-MS,Solanum lycopersicum,2014-08-31,Public,Lieven van Meulebroek,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-12,MTBLS111 - 20160909_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0728-9. Add ontology terms. Supplementary .docx file in folder may contain metabolites to be assigned.  Probably more metabolite info in the published paper.,"1,743.45","6,665,992",32,,,
2014-10-17,MTBLS112,GC-Q-MS,Triticum aestivum,2014-10-17,Public,Benedikt Warth,R,Mark,Done,Yes - Full,,DOI,,Metadata Only,2016-09-07,MTBLS112 - 20160831_LEG,Passes,,,,,Full,Add DOI 10.1007/s11306-014-0731-1. Add ontology terms.  Edit study design description.,0.82,"6,665,993",34,,,
2014-09-03,MTBLS113,GC-TOF-MS,reference compound;Euglena gracilis,2014-09-04,Public,Takeshi Furuhashi,,Mark,Done,Yes - No data,,DOI,,Full,2016-09-07,MTBLS113 - 20160905_LEG,Passes,,,1,,Full,Add DOI 10.1007/s11306-014-0687-1. Supplementary files from the paper are in the folder.  Probably wise to not attempt rationalising what is in the wax esters and leave as it is.,622.54,"6,666,616",33,,,
2014-09-05,MTBLS114,NMR,Rattus norvegicus,2014-09-05,Public,Gustav Nestor,,Mark,Done,No,,DOI,,Full,2016-09-07,MTBLS114 - 20160905_LEG,Passes,,,1,,Full,Change unit values to ontology terms.,7.61,"6,666,623",33,,,
2014-09-23,MTBLS115,NMR,Saccharomyces cerevisiae,2017-02-01,In Review,Brian Goodfellow,L,Keeva,Done,Yes - No data,,No,,Full,2016-09-12,MTBLS115 - 20160912_LEG,Passes,,,1,,Full,Add ontology terms. Assign CHEBI IDs to a few metabolites.,31.45,"6,666,655",33,,,
2014-09-27,MTBLS116,NMR,Montipora aequituberculata;Seriatopora hystrix;Pocillopora damicornis;Porites lobata;Porites compressa,2014-11-20,Public,Emilia Sogin,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-09-13,MTBLS116 - 20160912_LEG,Passes,,,1,,Full,Add ontology terms. Add protocols. Add PMID:25354140.,5.72,"6,666,660",33,,,
2014-10-29,MTBLS117,DI-LTQ-MS/MS,Glycine max;Glycine max/Rhizoctonia solani,2014-11-15,Public,Konstantinos Aliferis,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-10-24,MTBLS117 - 20160930_LEG,Passes,,,1,,Full,Awaiting paper from authors. Have the material and methods,111.66,"6,666,772",34,,,
2014-10-29,MTBLS118,GC-Q-MS,Glycine max;Glycine max/Rhizoctonia solani,2014-11-15,Public,Konstantinos Aliferis,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-09-30,MTBLS118 - 20160930_LEG,Passes,,,1,,Full,Awaiting paper from authors. Have the material and methods,"1,151.37","6,667,923",34,,,
2014-10-08,MTBLS119,UPLC-QTOF-MS/MS,Populus tremula x Populus alba,2015-01-31,Public,Richard Helm,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-02-04,MTBLS119 - 20160204_LEG,Passes,,,1,,Full,"
","31,686.64","6,699,610",34,,,
2015-06-09,MTBLS120,UPLC-QTOF-MS/MS,Glycine max,2016-02-04,Public,"Richard Helm, Christin Kastl",,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-02-04,MTBLS120 - 20160204_LEG,Passes,,,1,,Full,,"19,183.98","6,718,794",42,,,
2018-06-01,MTBLS121,,,2019-06-01,Dormant,MetaboLights Team,,,,,,,,,2018-06-01,,,,,,,,"
",0.06,"6,718,794",78,,,
2018-06-01,MTBLS122,,,2019-06-01,Dormant,MetaboLights Team,,Xuefei,Complete,No,,,,Full,2018-06-21,MTBLS122 - 20150108,Passes,,,,,Pending,"Special characters need adding.  The special charater in the chromatography protocol is probably a '-'. See PMID:22225612 for another study by the same group.  ADDITIONAL ASSAY in the MTBLS122_additional_assay. NOT IN THE DATABASE, Resubmitted as MTBLS129??",0.03,"6,718,794",78,,,
2014-10-14,MTBLS123,NMR,Sus scrofa domesticus,2015-01-31,Public,Charles Determan,,Mark,Done,Yes - Full,,DOI,,Full,2016-10-24,MTBLS123 - 20161024_LEG,Passes,,,1,,Full,"Errors when trying to update the release date,  Reza has worked with Charles on this in the past. Ken sent email, we need to help Charles now",647.93,"6,719,442",34,,,
2014-10-17,MTBLS124,UPLC-QTOF-MS,Homo sapiens,2015-03-23,Public,Andrea Ganna,,Mark,Done,Yes - Full,,DOI,,Full,2016-07-26,MTBLS124 - 20160726_LEG,Passes,,,1,,Full,Potential metabolites from paper?  Add ontology terms.  Raw data in MTBLS124_raw + some other in /ebi/ftp/private/mtblight/upload/andrea,"237,378.48","6,956,821",34,,,
2014-10-21,MTBLS125,HPLC-LTQ-MS,Mus musculus,2014-12-15,Public,Romanas Chaleckis,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-11-22,MTBLS125 - 20161122_LEG,Passes,,,1,,Full,,"12,118.46","6,968,939",34,,,
2014-10-21,MTBLS126,HPLC-LTQ-MS,Mus musculus,2014-12-15,Public,Romanas Chaleckis,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-11-22,MTBLS126 - 20161122_LEG,Passes,,,1,,Full,,"16,329.36","6,985,268",34,,,
2014-12-15,MTBLS127,HPLC-LTQ-MS,Homo sapiens;Mus musculus,2014-12-15,Public,Romanas Chaleckis,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-11-22,MTBLS127 - 20161122_LEG,Passes,,,1,,Full,,"4,108.96","6,989,377",36,,,
2014-10-27,MTBLS128,UPLC-QTOF-MS,Corynebacterium glutamicum,2015-10-06,Public,Frederik Walter,,Keeva,Done,Yes - Full,,Pubmed link,,Full,2016-11-22,MTBLS128 - 20161122_LEG,Passes,,,1,,Full,,176.98,"6,989,554",34,,,
2014-10-23,MTBLS129,UPLC-TOF-MS;UPLC-LTQ-MS,Arabidopsis thaliana,2016-10-03,Public,Shivshankar Umashankar,,Keeva,Done,Yes - No data,,DOI,,Full,2016-11-22,MTBLS129 - 20161122_LEG,Passes,,,1,,Full,Missing Q-TOF (.d files) ,"10,584.68","7,000,139",34,,,
2018-06-01,MTBLS130,,,2019-06-01,Dormant,MetaboLights Team,,,,,,,,,2018-06-01,,,,,,,,,0.03,"7,000,139",78,,,
2014-10-24,MTBLS131,NMR,Solanum lycopersicum,2015-01-28,Public,Daniel Jacob,,Namrata,Done,Yes - Full,,DOI,,,2016-11-23,MTBLS131 - 20161123_LEG,,,Y,1,,Full,,197.23,"7,000,336",34,,,
2014-10-24,MTBLS132,NMR,Solanum lycopersicum,2015-11-11,Public,Daniel Jacob,,Mark,Done,Yes - Full,,DOI,,,2016-11-23,MTBLS132 - 20161123_LEG,,,Y,1,,Full,,267.29,"7,000,604",34,,,
2014-10-24,MTBLS133,NMR,reference compound,2015-11-11,Public,Daniel Jacob,,Mark,Done,Yes - Full,,DOI,,,2016-11-23,MTBLS133 - 20161123_LEG,,,Y,1,,Full,,184.71,"7,000,788",34,,,
2014-10-24,MTBLS134,NMR,reference compound,2015-11-11,Public,Daniel Jacob,,Mark,Done,Yes - Full,,DOI,,,2016-11-23,MTBLS134 - 20161123_LEG,,,Y,1,,Full,,184.70,"7,000,973",34,,,
2018-06-01,MTBLS135,,,2019-06-01,Dormant,MetaboLights Team,,,,,,,,,2018-06-01,,,,,,,,,0.43,"7,000,973",78,,,
2018-06-02,MTBLS136,,,2019-06-02,In Curation,Victoria Stevens,,,,,,,,,2018-07-02,,,,,,,,Re-using: Metabolon study,"96,387.75","7,097,361",78,,,
2014-11-05,MTBLS137,UPLC-QTOF-MS,Vitis vinifera,2014-11-09,Public,Panagiotis Arapitsas,,Mark,Done,No,,Pubmed link,,Full,2016-11-23,MTBLS137 - 20161123_LEG,Passes,,,1,,Full,"Steffen Neumann is reviewer of the unpublished paper and has requested the submitter updating the protocol section, Pablo updated manually 2 protocols under Panagioitis request.  Change title to ""MetaDB a Data Processing Workflow in Untargeted MS-Based Metabolomics Experiments""","6,034.04","7,103,395",35,,,
,MTBLS138,GC-Q-MS,,,,,M,,Complete,Yes - Full,,,,Metadata Only,,MTBLS138 - 031114,Passes,,,,,Pending,"Waiting for paper to be accepted, then should get RAW files sent. Submitter deleted this study!!!",,"7,103,395",,,,
2018-06-11,MTBLS139,,,2019-06-11,Submitted,Jules Griffin,,,,,,,,,2018-06-11,,,,,,,,,0.06,"7,103,395",78,,,
2014-11-06,MTBLS140,HPLC-LTQ-MS/MS,Homo sapiens;reference compound,2015-09-07,Public,Marc Rurik,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-11-24,MTBLS140 - 20161124_LEG,Passes,,,1,,Full,Live,"17,630.26","7,121,026",35,,,
2014-11-13,MTBLS141,,Arabidopsis thaliana,2016-11-01,Submitted,Richard Helm,,Mark,Quick and Dirty,No,,,,Metadata Only,2016-08-23,MTBLS141,Warnings only,,,,,,"Tweaked by Philippe, not ready to go yet.  Also see emails around MTBLS119 to get the full picture ","122,400.55","7,243,426",35,,,
2018-06-12,MTBLS142,,,2019-06-12,Submitted,Mehdi BENIDDIR,,,,,,,,,2018-06-12,,,,,,,,,14.94,"7,243,441",78,,,
2014-11-20,MTBLS143,UPLC-LTQ-MS,Mus musculus,2015-11-19,Public,Sam Ansari,,Mark,Done,Yes - Full,,,,Full,2016-11-24,MTBLS143 - 20161124_LEG,Passes,,,1,,Full,,482.33,"7,243,923",35,,,
2014-11-25,MTBLS144,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS,Thalassiosira pseudonana,2014-12-12,Public,Krista Longnecker,,Mark,Done,Yes - Full,,DOI,,Full,2016-01-14,MTBLS144 - 20160112,Passes,In contact,,1,,Full,"
","7,506.58","7,251,430",35,,,
,MTBLS145,,,,,,,,,,,,,,,,,,,,,,,,"7,251,430",,,,
2014-11-26,MTBLS146,HPLC-LTQ-MS,Homo sapiens,2015-03-03,Public,Robert Davidson,,Mark,Done,No,,DOI,,Full,2016-11-25,MTBLS146 - 20161125_LEG,Passes,,,1,,Full,The submission as no title etc. waiting for email,"10,639.31","7,262,069",35,,,
2014-12-16,MTBLS147,NMR,Homo sapiens,2015-01-01,Public,Claudio Santucci,,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-03-23,MTBLS147 - 20161125_LEG,Passes,,,1,,Full,,"2,298.40","7,264,368",36,,,
2014-12-18,MTBLS148,UPLC-LTQ-MS,Homo sapiens,2014-12-18,Public,Etienne Thevenot,,Namrata,Done,Yes - No data,,DOI,,Full,2016-11-29,MTBLS148 - 20161125_LEG,Passes,,Y,1,,Full,,"20,663.56","7,285,031",36,,,
2014-12-19,MTBLS149,NMR,Rattus norvegicus,2016-06-08,Public,Junsong Wang,,Keeva,Done,Yes - Full,,No,,Full,2018-05-09,MTBLS149 - 20180509_LEG,Passes,In contact,,1,,Pending,"Paper info requested 07062016 - replied, no paper as of 08062016. MAF file is complete however only 4 metabolites being recognised on web page ...poss issue with | separation being looked into.",125.24,"7,285,156",36,,,
2014-12-31,MTBLS150,GCxGC-TOF-MS,Homo sapiens,2014-12-31,Public,Kathleen Vermeersch,,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-03-23,MTBLS150 - 20161125_LEG,Passes,,,1,,Full,Waiting for approx 40 metabolites to be curated in ChEBI.,219.32,"7,285,376",37,,,
2015-01-05,MTBLS151,NMR,Oryza sativa,2016-11-25,Public,umaporn uawisetwathana,,Mark,Done,Yes - Full,,DOI,,Full,2016-11-25,MTBLS151 - 20150105,Passes,,,1,,Full,,67.00,"7,285,443",37,,,
2015-01-08,MTBLS152,GCxGC-TOF-MS,Homo sapiens,2015-01-08,Public,Kathleen Vermeersch,,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-03-23,MTBLS152 - 20160205_LEG,Passes,,,1,,Full,,235.01,"7,285,678",37,,,
2015-01-09,MTBLS153,GC-Q-MS,Triticum aestivum,2016-10-03,Submitted,Benedikt Warth,R,Xuefei,,Yes - Full,,DOI,,Metadata Only,2016-03-17,MTBLS153 - 20160316-new,Passes,Awaiting,,,,,"No raw files, ",1.67,"7,285,679",37,,,
2015-01-12,MTBLS154,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Thalassiosira pseudonana,2015-01-27,Public,Krista Longnecker,L.,Mark,Done,Yes - Full,,DOI,10.1002/lol2.10043,Full,2017-05-17,MTBLS154 - 20170517_LEG,Passes,,,1,,Full,,"9,840.34","7,295,520",37,,,
2015-01-15,MTBLS155,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Synechococcus elongatus,2015-01-26,Public,Krista Longnecker,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-12-05,MTBLS155 - 20161205_LEG,Passes,,,1,,Full,,"9,623.04","7,305,143",37,,,
2015-01-16,MTBLS156,MAS-NMR,Homo sapiens,2015-01-16,Public,Martina Vermathen,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-12-07,MTBLS156 - 20161205_LEG,Passes,,,1,,Full,Extraction protocol parameters need to be edited.,81.02,"7,305,224",37,,,
2015-01-17,MTBLS157,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Ruegeria pomeroyi,2015-01-29,Public,Krista Longnecker,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-12-05,MTBLS157 - 20161205_LEG,Passes,,,1,,Full,,"19,185.48","7,324,409",37,,,
,MTBLS158,,,,,,,,,,,,,,,,,,,,,,,,"7,324,409",,,,
,MTBLS159,,,,,,,,,,,,,,,,,,,,,,,,"7,324,409",,,,
2015-05-22,MTBLS160,UPLC-QTOF-MS,Arabidopsis thaliana,2016-07-15,Public,Steffen Neumann,,Mark,Done,Yes - Full,,Pubmed link,,Full,2016-07-15,MTBLS160 - 20160216,Passes,,Y,1,,Full,Various files under : /nfs/production/metabolights/steffen/metabolights,"12,778.43","7,337,188",41,,,
2015-01-23,MTBLS161,NMR,Homo sapiens,2015-06-08,Public,Christopher Armstrong,,Namrata,Done,Yes - Full,,DOI,,Full,2017-03-23,MTBLS161 - 20161207_LEG,Passes,,,1,,Full,Added back the missing columns.,1.00,"7,337,189",37,,,
2015-01-29,MTBLS162,DI-LTQ-MS,Homo sapiens,2015-10-05,Public,Xinzhu Wang,,Xuefei,Done,Yes - Full,,Pubmed link,,Full,2016-12-12,MTBLS162 - 20161212_LEG,Passes,,,1,,Full,,630.36,"7,337,819",,,,
2015-01-31,MTBLS163,LC-TQ-MS/MS,Homo sapiens,2015-03-11,Public,Mesut Bilgin,,Mark,Done,Yes - No data,,DOI,,Full,2016-12-14,MTBLS163 - 20161213_LEG,Passes,,,1,,Full,,87.89,"7,337,907",38,,,
2015-02-05,MTBLS164,PTR-MS,Homo sapiens,2016-12-14,Public,Phil Brown,,Mark,Done,Yes - No data,,Pubmed link,,,2017-03-23,MTBLS164 - 20161214_LEG,Passes,,,1,,Full,,2.30,"7,337,909",38,,,
2015-02-11,MTBLS165,HPLC-LTQ-MS/MS,Ailuropoda melanoleuca,2015-03-31,Public,Tong Zhang,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-12-15,MTBLS165 - 20161214_LEG,Passes,In contact,,1,,Full,Awaiting information to come back from submitter.  Potential dump and run submitter.,"10,055.42","7,347,965",38,,,
2015-02-14,MTBLS166,NMR,Mus musculus,2015-02-14,Public,Wentao Zhu,,Mark,Done,Yes - No data,,Pubmed link,,Full,2016-12-15,MTBLS166 - 20161215_LEG,Passes,,,1,,Full,,15.75,"7,347,980",38,,,
2015-02-18,MTBLS167,GC-TQ-MS;UPLC-QTOF-MS;UPLC-DAD,Vitis vinifera,2017-05-01,In Curation,Pietro Franceschi,ML,Keeva,In progress,No,,No,,Full,2017-01-24,MTBLS167 - 20160527_LEG,Passes,Not yet contacted,,,,Pending,"Have sorted out the raw data files, the following need addressed with author; In HILIC pos & neg data set the same MS assay name appears, B008_MER_08_NP_neg - there is no pos version & no data file for pos or neg. The following data file is duplicated in HILIC neg study B146_SYR_08_NP_neg. No data files found for the following in GC study QC_02-08_GC_034, QC_02-20_GC_125, QC_02-24_GC_155, although 125 & 155 are also given sample name with assoc data file QC_02-20_GC_125_111220143707.cdf, QC_02-24_GC_155_111222120500.cdf, is this duplication? No data files associated with the Aromatic precursor study at all. No MAF files.","282,344.27","7,630,325",38,,,
2015-02-21,MTBLS168,UPLC-TQ-MS,Saccharomyces cerevisiae,2016-12-16,Public,Mohammad Tauqeer Alam,,Mark,Done,No,,Pubmed link,,Full,2017-05-09,MTBLS168 - 20161216_LEG,Passes,,,1,,Full,No protocols. Study relase date updated,68.77,"7,630,393",38,,,
2015-09-08,MTBLS169,UPLC-QTOF-MS,Arabidopsis thaliana,2015-09-15,Public,Steffen Neumann,,Mark,Done,No,,DOI,,Full,2016-12-16,MTBLS169 - 20161216_LEG,Passes,,Y,1,,Full,,"1,385.89","7,631,779",45,,,
2015-02-24,MTBLS170,GC-Q-MS,Ilex paraguariensis,2015-03-19,Public,Caroline Rempe,,Mark,Done,Yes - No data,,Pubmed link,,Full,2017-01-24,MTBLS170 - 20161219_LEG,Passes,,,1,,Full,our submission reference is PONE-D-14-55643R1[EMID:ac8815ba701a8978]. I will send you the DOI as soon as we get it.,548.43,"7,632,328",38,,,
2015-02-24,MTBLS171,GC-Q-MS,Rattus norvegicus,2015-09-28,Public,Hayley Abbiss,,Mark,Done,Yes - Full,,DOI,,Full,2016-12-19,MTBLS171 - 20161219_LEG,Passes,,,1,,,,681.78,"7,633,010",38,,,
2015-02-24,MTBLS172,NMR,Homo sapiens,2015-11-17,Public,veronica ghini,,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-03-23,MTBLS172 - 20161219_LEG,Passes,,,1,,Full,,40.69,"7,633,050",38,,,
2015-02-26,MTBLS173,UPLC-LTQ-MS/MS;UPLC-TQ-MS;UPLC-QTOF-MS,Mus musculus,2015-11-17,Public,Xinzhu Wang,M ,Mark,Done,Yes - Full,,Pubmed link,,Full,2017-08-22,MTBLS173 - 20161219_LEG,Passes,,,1,,Full,"One assay has no MAF. According to information paper, the missing MAF data should be about lipid measured by LC-MS.","12,088.11","7,645,138",38,,,
2015-06-15,MTBLS174,NMR,Homo sapiens,2015-12-07,Public,Ewa Gralka,,Mark,Done,Yes - Full,,DOI,,Full,2016-12-19,MTBLS174 - 20161219_LEG,Passes,,,1,,Full,,3.51,"7,645,142",42,,,
2015-03-03,MTBLS175,GC-Q-MS;UPLC-QTOF-MS,Centella asiatica,2015-03-03,Public,Fidele Tugizimana,,Mark,Done,Yes - No data,,DOI,,Full,2016-12-21,MTBLS175 - 20161221_LEG,Passes,,,1,,Full,,"2,989.01","7,648,131",39,,,
2015-03-06,MTBLS176,3D MALDI imaging MS;3D DESI imaging MS,Bacillus subtilis;Streptomyces coelicolor;Mus musculus;Homo sapiens,2016-07-27,Public,Janina Oetjen,,Reza,,No,,No,,,2016-11-17,MTBLS176,,,,,,,,"98,904.17","7,747,035",39,,,
2015-03-10,MTBLS177,NMR,Homo sapiens,2015-08-01,Public,Vijesh Bhute,,Mark,Done,Yes - Full,,DOI,,Full,2017-01-10,MTBLS177 - 20170110_LEG,Passes,,,1,,Full,Release date updated,62.47,"7,747,098",39,,,
2015-03-11,MTBLS178,UPLC-QTOF-MS/MS,Homo sapiens,2015-03-11,Public,Cho Kyoungwon,PL,Mark,Done,Yes - No data,,No,,Full,2017-01-10,MTBLS178 - 20170110_LEG,Passes,,,1,,,,"2,006.95","7,749,105",39,,,
,MTBLS179,,,,,,,,,,,,,,,,,,,,,,,,"7,749,105",,,,
,MTBLS180,,,,,,,,,,,,,,,,,,,,,,,,"7,749,105",,,,
,MTBLS181,,,,,,,,,,,,,,,,,,,,,,,,"7,749,105",,,,
2015-03-11,MTBLS182,GC-Q-MS,reference compound;Homo sapiens,2018-05-02,Public,Silvia Marin,,Mark,Done,No,,Pubmed link,,Full,2018-05-02,MTBLS182 - 20180502_LEG,Passes,,Y,1,,Full,,55.81,"7,749,160",39,,,
2015-03-11,MTBLS183,GC-Q-MS,Homo sapiens,2016-11-26,In Review,Silvia Marin,L,Mark,Done,No,,No,,Full,2015-11-27,MTBLS183 - 20151126,Passes,,Y,1,,Full,,349.19,"7,749,510",39,,,
2015-03-11,MTBLS184,GC-Q-MS,reference compound;Homo sapiens,2016-11-26,In Review,Silvia Marin,L,Mark,Done,No,,No,,Full,2015-11-27,MTBLS184 - 20151127,Passes,,Y,1,,Full,,125.84,"7,749,635",39,,,
2015-03-18,MTBLS185,UPLC-LTQ-MS,Bos taurus,2017-01-12,Public,Nathalie De Clercq,,Mark,Done,No,,DOI,,Full,2017-01-12,MTBLS185 - 20170110_LEG,Passes,,,1,,Full,,"3,310.88","7,752,946",39,,,
,MTBLS186,,,,,,,,,,,,,,,,,,,,,,,,"7,752,946",,,,
