abbr,name,url,description
OVAE,OVAE: Ontology of Vaccine Adverse Events,/ols/ontologies/ovae,OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE).
PATO,Phenotype And Trait Ontology,/ols/ontologies/pato,"An ontology of phenotypic qualities (properties, attributes or characteristics)"
PCO,Population and Community Ontology,/ols/ontologies/pco,An ontology about groups of interacting organisms such as populations and communities
PDRO,The Prescription of Drugs Ontology,/ols/ontologies/pdro,An ontology to describe entities related to prescription of drugs
PDUMDV,Platynereis Developmental Stages,/ols/ontologies/pdumdv,Life cycle stages for Platynereis dumerilii
PECO,Plant Experimental Conditions Ontology,/ols/ontologies/peco,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments."
PLANA,planaria-ontology,/ols/ontologies/plana,planaria-ontology is an ontology for planarian anatomy and developmental stages of S.med
PO,Plant Ontology,/ols/ontologies/po,"The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data."
PORO,Porifera (sponge) ontology,/ols/ontologies/poro,An ontology describing the anatomical structures and characteristics of Porifera (sponges)
PPO,Plant Phenology Ontology,/ols/ontologies/ppo,"An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales."
PR,PRotein Ontology (PRO),/ols/ontologies/pr,An ontological representation of protein-related entities
PRIDE,PRIDE Controlled Vocabulary,/ols/ontologies/pride,"The PRIDE PRoteomics IDEntifications (PRIDE) database is a centralized, standards compliant, public data repository for proteomics data, including protein and peptide identifications, post-translational modifications and supporting spectral evidence."
PROBONTO,Probability Distribution Ontology,/ols/ontologies/probonto,"ProbOnto, is an ontology-based knowledge base of probability distributions, featuring more than eighty uni- and multivariate distributions with their defining functions, characteristics, relationships and reparameterisation formulas."
PW,Pathway ontology,/ols/ontologies/pw,A controlled vocabulary for annotating gene products to pathways.
REX,Physico-chemical process,/ols/ontologies/rex,"An ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time."
RNAO,The RNA Ontology (RNAO): An Ontology for Integrating RNA Sequence and Structure Data,/ols/ontologies/rnao,"Controlled vocabulary pertaining to RNA function and based on RNA sequences, secondary and three-dimensional structures."
RO,OBO Relations Ontology,/ols/ontologies/ro,The OBO Relations Ontology (RO) is a collection of OWL relations (ObjectProperties) intended for use across a wide variety of biological ontologies.
RS,Rat Strain Ontology,/ols/ontologies/rs,Ontology of rat strains
RXNO,Name Reaction Ontology,/ols/ontologies/rxno,Connects organic name reactions to their roles in an organic synthesis and to processes in MOP
ReTO,Regulation of Transcription Ontology,/ols/ontologies/reto,Regulation of Transcription
ReXO,Regulation of Gene Expression Ontology,/ols/ontologies/rexo,Regulation of Gene Expression
SBO,Systems Biology Ontology,/ols/ontologies/sbo,"Terms commonly used in Systems Biology, and in particular in computational modeling."
SCDO,Sickle Cell Disease Ontology,/ols/ontologies/scdo,"The Sickle Cell Disease Ontology (SCDO) project is a collaboration between H3ABioNet (Pan African Bioinformatics Network) and SPAN (Sickle Cell Disease Pan African Network). The SCDO is currently under development and its purpose is to 1) establish community standardized SCD terms and descriptions, 2) establish canonical and hierarchical representation of knowledge on SCD and 3) link to other ontologies and bodies of work such as DO, PhenX MeSH, ICD, NCI’s thesaurus, SNOMED and OMIM."
SEP,Sample processing and separation techniques,/ols/ontologies/sep,A structured controlled vocabulary for the annotation of sample processing and separation techniques in scientific experiments.
SEPIO,Scientific Evidence and Provenance Information Ontology,/ols/ontologies/sepio,An ontology for representing the provenance of scientific claims and the evidence that supports them.
SIBO,Social Insect Behavior Ontology,/ols/ontologies/sibo,Social Behavior in insects
SIO,Semanticscience Integrated Ontology,/ols/ontologies/sio,"The Semanticscience Integrated Ontology (SIO) provides a simple, integrated ontology of types and relations for rich description of objects, processes and their attributes."
SO,Sequence types and features,/ols/ontologies/so,"A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases."
SPD,Spider Ontology,/ols/ontologies/spd,"An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow)."
STATO,STATO: the statistical methods ontology,/ols/ontologies/stato,"STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including relationships to study designs and plots."
SWO,"Bioinformatics operations, data types, formats, identifiers and topics",/ols/ontologies/swo,
SYMP,Symptom Ontology,/ols/ontologies/symp,"An ontology of disease symptoms, with symptoms encompasing perceived changes in function, sensations or appearance reported by a patient indicative of a disease."
TADS,Tick Anatomy Ontology,/ols/ontologies/tads,"The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>"
TAXRANK,Taxonomic rank vocabulary,/ols/ontologies/taxrank,"A vocabulary of taxonomic ranks (species, family, phylum, etc)"
TEDDY,Terminology for Description of Dynamics,/ols/ontologies/teddy,"TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology."
TGMA,Mosquito gross anatomy,/ols/ontologies/tgma,A structured controlled vocabulary of the anatomy of mosquitoes.
TO,Plant Trait Ontology,/ols/ontologies/to,A controlled vocabulary of describe phenotypic traits in plants.
TRANS,Pathogen Transmission Ontology,/ols/ontologies/trans,"An ontology representing the disease transmission process during which the pathogen is transmitted directly or indirectly from its natural reservoir, a susceptible host or source to a new host."
TTO,Teleost taxonomy,/ols/ontologies/tto,An ontology covering the taxonomy of teleosts (bony fish)
UBERON,Uber-anatomy ontology,/ols/ontologies/uberon,"Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage. The ontology includes comprehensive relationships to taxon-specific anatomical ontologies, allowing integration of functional, phenotype and expression data."
UNIMOD,Unimod protein modification database for mass spectrometry,/ols/ontologies/unimod,"Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for the mass differences introduced by all types of natural and artificial modifications. Other important information includes any mass change, (neutral loss), that occurs during MS/MS analysis, an d site specificity, (which residues are susceptible to modification and any constraints on the position of the modification within the protein or peptide)."
UO,Units of measurement,/ols/ontologies/uo,Metrical units for use in conjunction with PATO
UPHENO,Combined phenotype ontology,/ols/ontologies/upheno,
VARIO,Variation Ontology,/ols/ontologies/vario,"Variation Ontology, VariO, is an ontology for standardized, systematic description of effects, consequences and mechanisms of variations."
VO,Vaccine Ontology,/ols/ontologies/vo,"The Vaccine Ontology (VO) is a biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine annotation, integrate various vaccine data, and support computer-assisted reasoning.  VO supports basic vaccine R&D and clincal vaccine usage. VO is initiated and primarily developed by Dr. Yongqun ""Oliver"" He at the University of Michigan Medical School. VO is being developed as a community-based ontology with support and collaborations from the vaccine and bio-ontology communities."
VT,Vertebrate trait,/ols/ontologies/vt,An ontology of traits covering vertebrates
VTO,Vertebrate Taxonomy Ontology,/ols/ontologies/vto,Comprehensive hierarchy of extinct and extant vertebrate taxa.
WBBT,C. elegans Gross Anatomy Ontology,/ols/ontologies/wbbt,A structured controlled vocabulary of the anatomy of <i>Caenorhabditis elegans</i>.
WBLS,C. elegans development,/ols/ontologies/wbls,A structured controlled vocabulary of the development of <i>Caenorhabditis elegans</i>.
WBPhenotype,C. elegans phenotype,/ols/ontologies/wbphenotype,A structured controlled vocabulary of <i>Caenorhabditis elegans</i> phenotypes
XAO,Xenopus anatomy and development,/ols/ontologies/xao,Anatomy and development of the African clawed frog (<i>Xenopus laevis</i>).
XCO,Experimental condition ontology,/ols/ontologies/xco,Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.
XL,Cross-linker reagents ontology,/ols/ontologies/xl,A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.
ZECO,Zebrafish Experimental Conditions Ontology,/ols/ontologies/zeco,"Experimental conditions applied to zebrafish, developed to facilitate experiment condition annotation at ZFIN"
ZFA,Zebrafish anatomy and development,/ols/ontologies/zfa,A structured controlled vocabulary of the anatomy and development of the Zebrafish
ZFS,Zebrafish developmental stages,/ols/ontologies/zfs,Developmental stages of the Zebrafish
ancestro,Ancestry Ontology,/ols/ontologies/ancestro,"The Ancestry Ontology (Ancestro) provides a systematic description of the ancestry concepts used in the NHGRI-EBI Catalog of published genome-wide association studies. It includes a list of countries, regions and major areas (essentially continents), as well as a fairly exhaustive list of country- or region-specific ancestral groups, uncategorised ancestral groups and population isolates."
